backend,model,repetition,requests,throughput_rps,e2e_mean_ns,inference_mean_ns,execution_mean_ns,non_execution_e2e_ns,outside_inference_ns,server_non_execution_ns,timestamp_unix
wasmtime,decision_tree,1,5000,6212.339385128114,154862.3402,995.1248,481.6014,154380.7388,153867.21540000002,513.5234,1788100609.3362818
wasmtime,decision_tree,2,5000,6382.994118469155,150607.3246,969.0582,473.8492,150133.4754,149638.2664,495.20900000000006,1788100611.8438635
wasmtime,decision_tree,3,5000,6323.2488084149545,152099.1968,933.5264,463.7726,151635.4242,151165.6704,469.75379999999996,1788100614.3590999
wasmtime,decision_tree,4,5000,6410.599461323211,150034.3426,967.2376,476.6152,149557.7274,149067.105,490.6224,1788100616.8629932
wasmtime,decision_tree,5,5000,6280.071288063617,153184.223,963.5104,470.6634,152713.5596,152220.7126,492.847,1788100619.385174
wasmtime,decision_tree,6,5000,6399.164099211595,150266.958,964.3784,468.8728,149798.0852,149302.57960000003,495.5056000000001,1788100621.8809724
wasmtime,decision_tree,7,5000,6387.276710125713,150490.9828,979.906,477.9414,150013.0414,149511.0768,501.96459999999996,1788100624.3803875
wasmtime,decision_tree,8,5000,6411.229327848675,150040.527,1028.7874,479.1686,149561.3584,149011.7396,549.6188,1788100626.8867435
wasmtime,decision_tree,9,5000,6386.409361402223,150583.7354,998.5028,473.7672,150109.9682,149585.23260000002,524.7356,1788100629.3977723
wasmtime,decision_tree,10,5000,6134.419779161229,157034.9784,985.71,462.1822,156572.79619999998,156049.2684,523.5278000000001,1788100631.9326267
wasmtime,decision_tree,11,5000,6416.797223961527,149890.2266,939.6436,460.6106,149429.61599999998,148950.58299999998,479.033,1788100634.4281528
wasmtime,decision_tree,12,5000,6376.573688904646,150789.217,958.28,465.9516,150323.2654,149830.937,492.3284,1788100636.9366
wasmtime,decision_tree,13,5000,6238.716742385383,154264.9912,963.2578,464.6024,153800.3888,153301.7334,498.6554,1788100639.4686284
wasmtime,decision_tree,14,5000,6362.918950610729,151231.0786,956.9572,472.0836,150758.995,150274.1214,484.87359999999995,1788100641.9740922
wasmtime,decision_tree,15,5000,6449.169759996832,149118.1734,1010.5692,478.8646,148639.3088,148107.6042,531.7046,1788100644.4601634
wasmtime,decision_tree,16,5000,6387.729150195285,150564.561,996.0364,476.2186,150088.3424,149568.52459999998,519.8178,1788100646.9733317
wasmtime,decision_tree,17,5000,6313.307230570086,152380.6624,966.2936,475.6564,151905.006,151414.3688,490.63719999999995,1788100649.4844878
wasmtime,decision_tree,18,5000,6121.335396322588,157315.9076,974.4018,474.4846,156841.423,156341.5058,499.9172,1788100652.0189447
wasmtime,decision_tree,19,5000,6385.340255149982,150637.4492,950.7092,465.5532,150171.896,149686.74,485.156,1788100654.5115762
wasmtime,decision_tree,20,5000,6336.451863723073,151765.1468,988.5994,475.4964,151289.65039999998,150776.54739999998,513.103,1788100657.0203965
