backend,model,repetition,requests,throughput_rps,e2e_mean_ns,inference_mean_ns,execution_mean_ns,non_execution_e2e_ns,outside_inference_ns,server_non_execution_ns,timestamp_unix
wasmtime,kmeans,1,5000,6773.6701472922405,141737.2594,735.3754,227.8916,141509.3678,141001.88400000002,507.4838,1788100725.9046352
wasmtime,kmeans,2,5000,6802.732976319683,141135.6034,633.5114,225.527,140910.0764,140502.092,407.9844,1788100728.3580348
wasmtime,kmeans,3,5000,6866.758316018605,139826.9594,626.9802,219.9868,139606.97259999998,139199.9792,406.99339999999995,1788100730.788551
wasmtime,kmeans,4,5000,6712.670485170711,143052.6916,639.3446,229.4476,142823.24399999998,142413.34699999998,409.89700000000005,1788100733.2508914
wasmtime,kmeans,5,5000,6744.18016237641,142293.8054,626.5254,225.3692,142068.43620000003,141667.28,401.1562,1788100735.7020745
wasmtime,kmeans,6,5000,6837.811855168337,140311.152,621.5836,225.2684,140085.8836,139689.5684,396.3152,1788100738.145836
wasmtime,kmeans,7,5000,6893.321306376066,139210.8812,675.0598,229.9234,138980.9578,138535.82140000002,445.1364,1788100740.5775464
wasmtime,kmeans,8,5000,6810.579276352159,140967.438,638.2104,222.8116,140744.6264,140329.22759999998,415.39880000000005,1788100743.018322
wasmtime,kmeans,9,5000,6774.203320368722,141700.68,659.8324,221.4746,141479.2054,141040.84759999998,438.3578,1788100745.459179
wasmtime,kmeans,10,5000,6821.027699947344,140676.3824,642.5516,226.0414,140450.34100000001,140033.8308,416.5102,1788100747.9056988
wasmtime,kmeans,11,5000,6837.512081076375,140464.913,630.0666,225.0676,140239.8454,139834.8464,404.999,1788100750.3402202
wasmtime,kmeans,12,5000,6745.303094887105,142359.4804,629.7978,226.154,142133.3264,141729.6826,403.64380000000006,1788100752.7929275
wasmtime,kmeans,13,5000,6830.398262610804,140627.2484,633.9176,225.1476,140402.10080000001,139993.33080000003,408.77,1788100755.2274356
wasmtime,kmeans,14,5000,6825.561637232904,140708.2132,637.4552,223.7004,140484.5128,140070.758,413.7548,1788100757.6777802
wasmtime,kmeans,15,5000,6861.63884401263,139884.6218,646.2124,234.4408,139650.18099999998,139238.4094,411.77160000000003,1788100760.1105537
wasmtime,kmeans,16,5000,6782.606195080503,141564.096,632.6248,227.696,141336.4,140931.4712,404.9288,1788100762.5520384
wasmtime,kmeans,17,5000,6865.391429099259,139829.887,641.5124,223.9808,139605.9062,139188.37459999998,417.53159999999997,1788100764.9849398
wasmtime,kmeans,18,5000,6843.862040611146,140249.4976,623.0468,226.7484,140022.7492,139626.4508,396.29839999999996,1788100767.4190361
wasmtime,kmeans,19,5000,6861.036294237588,139874.0102,626.1352,230.745,139643.2652,139247.875,395.39020000000005,1788100769.8548827
wasmtime,kmeans,20,5000,6817.1543970121975,140813.0076,628.5778,222.3364,140590.6712,140184.4298,406.2414,1788100772.2975128
