backend,model,repetition,requests,throughput_rps,e2e_mean_ns,inference_mean_ns,execution_mean_ns,non_execution_e2e_ns,outside_inference_ns,server_non_execution_ns,timestamp_unix
wasmtime,logistic_regression,1,5000,6893.704735180754,139217.9882,762.7802,357.2818,138860.7064,138455.20799999998,405.49840000000006,1788100153.480296
wasmtime,logistic_regression,2,5000,6881.930061804336,139470.1562,745.7822,349.8118,139120.3444,138724.374,395.9704,1788100155.909775
wasmtime,logistic_regression,3,5000,6838.655962797489,140282.8674,765.4596,352.361,139930.50639999998,139517.4078,413.09860000000003,1788100158.3472152
wasmtime,logistic_regression,4,5000,6792.647399518115,141347.761,789.104,356.5498,140991.2112,140558.657,432.55420000000004,1788100160.7879314
wasmtime,logistic_regression,5,5000,6821.991662908052,140723.1664,797.7754,354.7154,140368.451,139925.39099999997,443.06,1788100163.2187347
wasmtime,logistic_regression,6,5000,6837.348497873339,140417.1984,753.1002,355.062,140062.1364,139664.0982,398.03819999999996,1788100165.655144
wasmtime,logistic_regression,7,5000,6822.669711346001,140726.4432,747.359,354.3804,140372.0628,139979.0842,392.97860000000003,1788100168.0913243
wasmtime,logistic_regression,8,5000,6881.543412242914,139514.4208,759.5636,347.2454,139167.17539999998,138754.8572,412.31819999999993,1788100170.5270302
wasmtime,logistic_regression,9,5000,6817.015395673053,140868.2872,763.512,355.7428,140512.54439999998,140104.7752,407.76919999999996,1788100172.9613276
wasmtime,logistic_regression,10,5000,6854.434345989651,140017.9536,756.7372,354.183,139663.77060000002,139261.2164,402.55420000000004,1788100175.3886664
wasmtime,logistic_regression,11,5000,6791.340529173987,141503.7444,750.676,354.1166,141149.6278,140753.0684,396.55940000000004,1788100177.8328235
wasmtime,logistic_regression,12,5000,6878.997970727235,139490.7266,758.8732,353.6942,139137.0324,138731.8534,405.179,1788100180.2623713
wasmtime,logistic_regression,13,5000,6797.978312515779,141222.1618,756.43,352.7582,140869.4036,140465.7318,403.67179999999996,1788100182.696632
wasmtime,logistic_regression,14,5000,6803.281299859858,141104.0208,729.0356,347.4976,140756.5232,140374.9852,381.53800000000007,1788100185.133536
wasmtime,logistic_regression,15,5000,6813.843152689241,140834.4916,743.8908,346.1182,140488.3734,140090.60080000001,397.7726,1788100187.5735173
wasmtime,logistic_regression,16,5000,6888.657250317917,139361.5638,749.8524,348.029,139013.5348,138611.7114,401.8234,1788100190.0073943
wasmtime,logistic_regression,17,5000,6852.693735664642,140033.8556,743.532,351.535,139682.3206,139290.3236,391.997,1788100192.4377728
wasmtime,logistic_regression,18,5000,6695.504219745289,143455.9124,748.7474,356.3148,143099.5976,142707.165,392.4326,1788100194.886025
wasmtime,logistic_regression,19,5000,6777.14467126474,141613.2326,752.5496,357.2796,141255.95299999998,140860.683,395.27000000000004,1788100197.3238118
wasmtime,logistic_regression,20,5000,6791.787824913839,141344.553,744.5684,349.6444,140994.90860000002,140599.98460000003,394.924,1788100199.765026
