backend,model,repetition,requests,throughput_rps,e2e_mean_ns,inference_mean_ns,execution_mean_ns,non_execution_e2e_ns,outside_inference_ns,server_non_execution_ns,timestamp_unix
wasmtime,mlp,1,5000,6266.283350881667,153455.3398,4658.0044,4137.7748,149317.56499999997,148797.33539999998,520.2295999999997,1788101076.0620306
wasmtime,mlp,2,5000,6361.229900590972,151292.787,4471.3502,3984.6364,147308.15060000002,146821.43680000002,486.7138,1788101078.5829027
wasmtime,mlp,3,5000,6234.06268028934,154393.0598,4780.2794,4312.651,150080.40879999998,149612.7804,467.6284000000005,1788101081.1101956
wasmtime,mlp,4,5000,6230.819962606602,154437.791,4692.3934,4216.479,150221.312,149745.3976,475.91439999999966,1788101083.6310558
wasmtime,mlp,5,5000,6280.424778563828,153235.7784,4764.311,4273.0224,148962.75600000002,148471.46740000002,491.28859999999986,1788101086.152989
wasmtime,mlp,6,5000,6391.221788747692,150502.0926,4605.8086,4141.8206,146360.272,145896.284,463.9880000000003,1788101088.6519797
wasmtime,mlp,7,5000,6236.050974455969,154320.0494,4954.356,4455.436,149864.6134,149365.6934,498.9200000000001,1788101091.1791215
wasmtime,mlp,8,5000,6276.68581572264,153342.2784,4584.0382,4071.2468,149271.03160000002,148758.2402,512.7914000000001,1788101093.700752
wasmtime,mlp,9,5000,6407.1963647472,150144.0888,4416.0386,3972.049,146172.0398,145728.0502,443.9895999999999,1788101096.2005506
wasmtime,mlp,10,5000,6276.262021599245,153301.3628,4886.844,4395.8106,148905.5522,148414.5188,491.03340000000026,1788101098.7193336
wasmtime,mlp,11,5000,6275.064182970163,153406.0196,4995.6234,4448.8446,148957.175,148410.3962,546.7788,1788101101.234723
wasmtime,mlp,12,5000,6192.421983672247,155378.5124,4859.6918,4363.1082,151015.40420000002,150518.8206,496.58359999999993,1788101103.7615762
wasmtime,mlp,13,5000,6153.458430663974,156481.7354,4829.6286,4324.5334,152157.202,151652.1068,505.09519999999975,1788101106.3011615
wasmtime,mlp,14,5000,6374.717005530343,150887.239,4413.785,3972.3632,146914.8758,146473.454,441.4218000000001,1788101108.80859
wasmtime,mlp,15,5000,6240.805934730744,154217.696,4861.5132,4356.8654,149860.8306,149356.1828,504.64780000000064,1788101111.3279328
wasmtime,mlp,16,5000,6220.399054901376,154629.0956,4659.2704,4180.5354,150448.5602,149969.8252,478.7350000000006,1788101113.8509192
wasmtime,mlp,17,5000,6172.952264411959,155945.455,4922.077,4382.7056,151562.7494,151023.378,539.3714,1788101116.3845174
wasmtime,mlp,18,5000,6332.914989530407,151969.5004,4782.284,4301.442,147668.05839999998,147187.21639999998,480.84199999999964,1788101118.897349
wasmtime,mlp,19,5000,6255.035948126973,153969.193,4880.6716,4378.615,149590.578,149088.5214,502.0565999999999,1788101121.4105144
wasmtime,mlp,20,5000,6282.64662628555,153177.3046,4846.9508,4345.8,148831.50460000001,148330.3538,501.15079999999944,1788101123.9248784
