backend,model,repetition,requests,throughput_rps,e2e_mean_ns,inference_mean_ns,execution_mean_ns,non_execution_e2e_ns,outside_inference_ns,server_non_execution_ns,timestamp_unix
wasmtime,naive_bayes,1,5000,5406.540867992584,177695.4348,2183.2542,1674.8958,176020.539,175512.1806,508.35839999999985,1788100492.9185874
wasmtime,naive_bayes,2,5000,6306.825334235742,152629.806,2283.1376,1713.7322,150916.0738,150346.66840000002,569.4054000000001,1788100495.4321208
wasmtime,naive_bayes,3,5000,6330.373496790444,152042.6212,2281.8004,1730.0564,150312.5648,149760.8208,551.7440000000001,1788100497.9519937
wasmtime,naive_bayes,4,5000,6350.898026421363,151471.5484,2234.5756,1712.1728,149759.3756,149236.9728,522.4028000000001,1788100500.4539597
wasmtime,naive_bayes,5,5000,6379.024533979332,150837.138,2231.1334,1691.0186,149146.1194,148606.00460000001,540.1148000000001,1788100502.954672
wasmtime,naive_bayes,6,5000,6335.588333558396,151892.8844,2279.3614,1718.9192,150173.9652,149613.52300000002,560.4421999999997,1788100505.4609427
wasmtime,naive_bayes,7,5000,6382.96043529997,150572.5482,2236.5652,1703.6624,148868.8858,148335.98299999998,532.9028000000001,1788100507.9693406
wasmtime,naive_bayes,8,5000,6226.1189171651695,154671.2824,2192.0564,1673.4606,152997.8218,152479.226,518.5957999999998,1788100510.4965317
wasmtime,naive_bayes,9,5000,6381.9182882119685,150778.462,2165.603,1663.1142,149115.3478,148612.859,502.4888000000001,1788100512.995861
wasmtime,naive_bayes,10,5000,6335.920203479194,151769.5672,2421.364,1902.3088,149867.2584,149348.2032,519.0552,1788100515.497454
wasmtime,naive_bayes,11,5000,6328.981047806672,151990.094,2227.8536,1705.2034,150284.8906,149762.2404,522.6501999999998,1788100518.0101216
wasmtime,naive_bayes,12,5000,6381.333832804061,150680.0592,2208.301,1684.389,148995.6702,148471.75819999998,523.912,1788100520.512203
wasmtime,naive_bayes,13,5000,6335.5035762397765,151836.4244,2203.1954,1695.692,150140.73239999998,149633.229,507.50340000000006,1788100523.0213077
wasmtime,naive_bayes,14,5000,6314.111716043784,152325.6766,2223.9984,1704.5704,150621.1062,150101.6782,519.4279999999999,1788100525.5292442
wasmtime,naive_bayes,15,5000,6368.394082649916,151037.732,2221.495,1705.5406,149332.19139999998,148816.237,515.9543999999999,1788100528.0321817
wasmtime,naive_bayes,16,5000,6267.392838508911,153573.6756,2184.4598,1675.083,151898.59259999997,151389.21579999998,509.3768,1788100530.5490723
wasmtime,naive_bayes,17,5000,6299.817958780766,152705.7108,2218.9414,1698.5854,151007.1254,150486.7694,520.3560000000002,1788100533.0611365
wasmtime,naive_bayes,18,5000,6387.656656828972,150565.0106,2196.1332,1684.4136,148880.597,148368.8774,511.7196000000001,1788100535.5568726
wasmtime,naive_bayes,19,5000,6315.362100152707,152460.322,2209.6098,1701.8422,150758.47979999997,150250.71219999998,507.76760000000013,1788100538.07534
wasmtime,naive_bayes,20,5000,6299.320658780725,152781.8744,2236.8028,1684.5196,151097.3548,150545.0716,552.2831999999999,1788100540.5850003
