backend,model,repetition,requests,throughput_rps,e2e_mean_ns,inference_mean_ns,execution_mean_ns,non_execution_e2e_ns,outside_inference_ns,server_non_execution_ns,timestamp_unix
wasmtime,random_forest,1,5000,6240.077226051962,154102.3222,4049.6962,3552.7292,150549.593,150052.626,496.96699999999964,1788100839.8252287
wasmtime,random_forest,2,5000,6397.45635651236,150335.7248,3749.4406,3289.0876,147046.6372,146586.2842,460.35300000000007,1788100842.3320076
wasmtime,random_forest,3,5000,6296.2407703759245,152770.8126,4064.8434,3569.6858,149201.1268,148705.9692,495.1576,1788100844.8548267
wasmtime,random_forest,4,5000,6290.752421116226,152993.7928,4090.515,3592.3046,149401.4882,148903.27779999998,498.21039999999994,1788100847.3593214
wasmtime,random_forest,5,5000,6225.500708499554,154666.625,3912.8502,3434.9474,151231.6776,150753.7748,477.90279999999984,1788100849.8855581
wasmtime,random_forest,6,5000,6332.740380059004,151926.1192,3975.2352,3482.9104,148443.2088,147950.884,492.32479999999987,1788100852.3931687
wasmtime,random_forest,7,5000,6344.840961460681,151640.586,3972.899,3486.8424,148153.74360000002,147667.687,486.0565999999999,1788100854.8978343
wasmtime,random_forest,8,5000,6305.6321732320375,152593.7514,3929.3168,3448.6626,149145.0888,148664.4346,480.65419999999995,1788100857.4062288
wasmtime,random_forest,9,5000,6364.353988034597,151205.9678,3797.6328,3335.5908,147870.377,147408.33500000002,462.0419999999999,1788100859.9093254
wasmtime,random_forest,10,5000,6394.51761692328,150373.8166,3703.39,3259.0044,147114.8122,146670.42659999998,444.38560000000007,1788100862.4012153
wasmtime,random_forest,11,5000,6346.991923967462,151616.6358,3796.6848,3334.8414,148281.79439999998,147819.951,461.8434000000002,1788100864.9035168
wasmtime,random_forest,12,5000,6247.953784646218,154074.0582,3951.2886,3466.6382,150607.42,150122.7696,484.6504,1788100867.4251008
wasmtime,random_forest,13,5000,5949.341268404894,162031.875,3858.1454,3396.2802,158635.5948,158173.7296,461.86519999999973,1788100869.9995103
wasmtime,random_forest,14,5000,6336.905430599337,151859.5622,4058.3174,3565.0602,148294.50199999998,147801.2448,493.2572,1788100872.5054321
wasmtime,random_forest,15,5000,6342.320747192042,151670.6238,3924.9146,3400.279,148270.3448,147745.7092,524.6356000000001,1788100875.0184152
wasmtime,random_forest,16,5000,6320.601760058264,152239.7456,3803.5008,3337.8184,148901.9272,148436.2448,465.6823999999997,1788100877.5312538
wasmtime,random_forest,17,5000,6325.263582588593,152148.062,3955.4416,3479.094,148668.968,148192.6204,476.34760000000006,1788100880.0392318
wasmtime,random_forest,18,5000,6208.984065598782,154995.2326,4080.849,3583.175,151412.0576,150914.3836,497.674,1788100882.5661716
wasmtime,random_forest,19,5000,6235.278849667232,154383.8634,4018.8656,3519.6876,150864.1758,150364.9978,499.1779999999999,1788100885.0956078
wasmtime,random_forest,20,5000,6384.472912145097,150669.39,3671.1794,3222.4446,147446.94540000003,146998.21060000002,448.7348000000002,1788100887.5925057
