backend,model,repetition,requests,throughput_rps,e2e_mean_ns,inference_mean_ns,execution_mean_ns,non_execution_e2e_ns,outside_inference_ns,server_non_execution_ns,timestamp_unix
wasmtime,svm,1,5000,6063.628475158224,158852.6778,14323.5946,13897.5176,144955.1602,144529.0832,426.07700000000114,1788100956.9781694
wasmtime,svm,2,5000,6028.190042276296,159663.4822,14302.6232,13891.7418,145771.7404,145360.859,410.8814000000002,1788100959.5424953
wasmtime,svm,3,5000,6074.991323035846,158571.4112,14178.7286,13780.6794,144790.7318,144392.6826,398.0491999999995,1788100962.0943377
wasmtime,svm,4,5000,6218.126496505965,154862.2298,14128.5358,13739.7234,141122.5064,140733.694,388.8123999999989,1788100964.6203938
wasmtime,svm,5,5000,6117.059578834811,157480.75,14227.3426,13816.2838,143664.4662,143253.4074,411.0588000000007,1788100967.1670127
wasmtime,svm,6,5000,6065.911534557274,158848.1048,14043.8998,13637.2272,145210.8776,144804.20500000002,406.6725999999999,1788100969.7199337
wasmtime,svm,7,5000,6161.513413907927,156246.649,14177.88,13721.4806,142525.1684,142068.769,456.3993999999984,1788100972.2570553
wasmtime,svm,8,5000,6118.06764709707,157432.3722,14199.7784,13790.4908,143641.8814,143232.5938,409.28759999999966,1788100974.800392
wasmtime,svm,9,5000,6055.603009129114,159137.3514,13988.703,13601.3594,145535.99200000003,145148.6484,387.34360000000015,1788100977.352698
wasmtime,svm,10,5000,5869.190019143112,164355.2628,13489.2866,13102.26,151253.0028,150865.9762,387.02659999999923,1788100979.93041
wasmtime,svm,11,5000,6148.910678434899,156643.62,14140.4486,13750.2598,142893.3602,142503.1714,390.1887999999999,1788100982.469347
wasmtime,svm,12,5000,6085.743426852112,158131.5356,14217.3046,13817.5196,144314.016,143914.231,399.78499999999985,1788100985.0148246
wasmtime,svm,13,5000,6125.13158337464,157229.3318,14065.3952,13648.5858,143580.746,143163.93660000002,416.8094000000001,1788100987.558767
wasmtime,svm,14,5000,6067.877467493117,158773.8956,14032.011,13618.1,145155.79559999998,144741.8846,413.91100000000006,1788100990.1081023
wasmtime,svm,15,5000,6217.045724273468,154826.8856,13595.6012,13201.018,141625.8676,141231.2844,394.5831999999991,1788100992.631097
wasmtime,svm,16,5000,6177.585060817463,155940.9266,14117.2446,13724.1656,142216.761,141823.682,393.0789999999997,1788100995.1631122
wasmtime,svm,17,5000,6073.586883273852,158577.4794,14242.9588,13827.2294,144750.25,144334.52060000002,415.72940000000017,1788100997.7236967
wasmtime,svm,18,5000,6159.287274465854,156300.4904,14042.34,13636.3156,142664.1748,142258.1504,406.02440000000024,1788101000.2599878
wasmtime,svm,19,5000,5698.910230457213,169352.0756,13301.3524,12915.8874,156436.1882,156050.7232,385.46500000000015,1788101002.8712857
wasmtime,svm,20,5000,6097.484424874635,157914.3406,14057.7226,13614.4332,144299.9074,143856.618,443.28939999999966,1788101005.4139009
