backend,model,physical_units,concurrency,repetition,requests,throughput_rps,mean_latency_ms,p50_latency_ms,p90_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms,error_rate,timestamp_unix
docker,kmeans,20,1,1,5000,831.820261415,1.178132757,1.214873000,1.284625000,1.309019700,1.610130790,8.409724000,0.000000000,1788132573.904314
docker,kmeans,20,1,2,5000,797.466929262,1.229464357,1.237673500,1.271059600,1.280052300,1.302827620,7.415889000,0.000000000,1788132604.643713
docker,kmeans,20,1,3,5000,837.681061105,1.170059474,1.215907500,1.262366000,1.276174000,1.299717040,7.274875000,0.000000000,1788132634.362404
docker,kmeans,20,1,4,5000,816.311958145,1.200438219,1.229635000,1.267527200,1.278250700,1.299522290,7.557651000,0.000000000,1788132664.095633
docker,kmeans,20,1,5,5000,820.887534953,1.194176215,1.231489000,1.276901000,1.286784700,1.309690890,8.417540000,0.000000000,1788132693.546618
docker,kmeans,20,1,6,5000,809.839171446,1.210388340,1.231485000,1.297028300,1.536835850,1.603350650,8.854098000,0.000000000,1788132723.009088
docker,kmeans,20,1,7,5000,801.240142542,1.223164107,1.229931500,1.451296900,1.582374900,1.620992720,8.300650000,0.000000000,1788132752.397966
docker,kmeans,20,1,8,5000,660.943037962,1.481934978,1.566188500,1.629302400,1.645132150,1.681559060,7.444776000,0.000000000,1788132783.423868
docker,kmeans,20,1,9,5000,821.857061019,1.192330815,1.221247500,1.334728300,1.575098350,1.620481800,7.918336000,0.000000000,1788132812.694331
docker,kmeans,20,1,10,5000,798.376215551,1.227352293,1.230168500,1.582927800,1.614700550,1.655114450,9.134889000,0.000000000,1788132842.273330
docker,kmeans,20,1,11,5000,657.506614343,1.490187059,1.573766500,1.633194300,1.647221700,1.680810370,7.986327000,0.000000000,1788132872.952316
docker,kmeans,20,1,12,5000,659.858804561,1.485542719,1.562310500,1.617323800,1.630983850,1.659015440,7.582017000,0.000000000,1788132904.106937
docker,kmeans,20,1,13,5000,791.133028149,1.238933429,1.238604500,1.407153300,1.589242350,1.634525180,8.098820000,0.000000000,1788132933.025255
docker,kmeans,20,1,14,5000,836.234505123,1.171711612,1.220129500,1.267641600,1.278919200,1.301728720,8.153101000,0.000000000,1788132962.211871
docker,kmeans,20,1,15,5000,675.929197532,1.449992830,1.535588500,1.615882700,1.629764450,1.666390770,7.480922000,0.000000000,1788132993.048418
docker,kmeans,20,1,16,5000,761.313002988,1.287776143,1.245885500,1.586357900,1.609095500,1.646020070,7.938951000,0.000000000,1788133022.767052
docker,kmeans,20,1,17,5000,763.731838643,1.283376827,1.243873500,1.610631700,1.638075150,1.672675380,8.021569000,0.000000000,1788133052.386339
docker,kmeans,20,1,18,5000,659.581893726,1.485853543,1.570479000,1.634620200,1.648463800,1.690773700,7.736681000,0.000000000,1788133083.123101
docker,kmeans,20,1,19,5000,658.202706785,1.488402606,1.572873500,1.634214100,1.648311450,1.685223430,7.957816000,0.000000000,1788133113.550158
docker,kmeans,20,1,20,5000,828.135719624,1.183717977,1.225743000,1.265820600,1.277037900,1.302712680,8.250267000,0.000000000,1788133142.865395
docker,kmeans,20,1,21,5000,659.978284126,1.484896730,1.569583000,1.635109800,1.652064100,1.690414240,7.764849000,0.000000000,1788133173.040633
docker,kmeans,20,1,22,5000,803.358972367,1.220130774,1.232172000,1.553514100,1.591867450,1.635518460,8.630040000,0.000000000,1788133202.402948
docker,kmeans,20,1,23,5000,757.666321658,1.293315854,1.246307000,1.597049200,1.628431200,1.671343990,8.253633000,0.000000000,1788133232.065196
docker,kmeans,20,1,24,5000,656.861063682,1.491736666,1.575363000,1.642865300,1.658194000,1.696700080,7.712836000,0.000000000,1788133262.896949
docker,kmeans,20,1,25,5000,783.470657444,1.251025623,1.237801000,1.561724500,1.597264750,1.636227180,7.960324000,0.000000000,1788133292.372658
docker,kmeans,20,1,26,5000,826.846769219,1.185888702,1.228054500,1.273339600,1.283733450,1.306957400,8.064605000,0.000000000,1788133321.587609
docker,kmeans,20,1,27,5000,660.303445817,1.483865046,1.575119000,1.630410200,1.644770350,1.692040920,6.085567000,0.000000000,1788133352.584853
docker,kmeans,20,1,28,5000,653.495433698,1.498738222,1.588340500,1.643489100,1.655852350,1.686499600,6.085883000,0.000000000,1788133383.284129
docker,kmeans,20,1,29,5000,844.924727537,1.159476674,1.217355000,1.262087500,1.273920650,1.298629950,7.867801000,0.000000000,1788133412.727842
docker,kmeans,20,1,30,5000,782.097254797,1.253306038,1.239827500,1.570121000,1.595090700,1.639962710,7.873712000,0.000000000,1788133442.142107
docker,kmeans,20,1,31,5000,658.271749331,1.488837455,1.573757000,1.645759600,1.661829700,1.719966060,7.527137000,0.000000000,1788133473.119239
docker,kmeans,20,1,32,5000,801.394043282,1.223115846,1.221633000,1.576674800,1.608325700,1.644267690,9.155599000,0.000000000,1788133502.565238
docker,kmeans,20,1,33,5000,750.938184780,1.305088320,1.243793000,1.593798900,1.614214050,1.645572100,8.039948000,0.000000000,1788133531.425425
docker,kmeans,20,1,34,5000,708.405282906,1.383081418,1.352378000,1.624477400,1.638359950,1.680225280,6.578790000,0.000000000,1788133560.746865
docker,kmeans,20,1,35,5000,667.628314808,1.467220490,1.558011000,1.624056600,1.636959000,1.671140280,6.528760000,0.000000000,1788133591.648878
docker,kmeans,20,1,36,5000,653.049382540,1.499355378,1.584389500,1.638051000,1.652260650,1.684864290,7.814702000,0.000000000,1788133622.982817
docker,kmeans,20,1,37,5000,778.884031078,1.258206230,1.243515000,1.558893800,1.600875700,1.644257940,8.729082000,0.000000000,1788133652.438782
docker,kmeans,20,1,38,5000,660.056970762,1.484936253,1.560474000,1.616821300,1.630444700,1.666200220,8.090863000,0.000000000,1788133683.319401
