backend,model,physical_units,concurrency,repetition,requests,throughput_rps,mean_latency_ms,p50_latency_ms,p90_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms,error_rate,timestamp_unix
docker,logistic_regression,20,1,1,5000,833.792555279,1.175859136,1.216024500,1.264837200,1.276991150,1.298753760,7.705089000,0.000000000,1787958515.460371
docker,logistic_regression,20,1,2,5000,823.508213578,1.190281602,1.228531500,1.271533000,1.281459000,1.305947290,8.318592000,0.000000000,1787958544.422759
docker,logistic_regression,20,1,3,5000,841.867620378,1.164218687,1.216210500,1.261521900,1.271812300,1.293392090,7.997691000,0.000000000,1787958573.033643
docker,logistic_regression,20,1,4,5000,814.325678487,1.203849014,1.229438500,1.274222100,1.285829950,1.308796650,8.393486000,0.000000000,1787958602.657806
docker,logistic_regression,20,1,5,5000,974.380821737,1.005252433,1.010324000,1.046974500,1.057515150,1.083354660,7.200294000,0.000000000,1787958629.847586
docker,logistic_regression,20,1,6,5000,3718.302536336,0.259396814,0.250221000,0.268941100,0.283000950,0.414909080,9.593541000,0.000000000,1787958646.068491
docker,logistic_regression,20,1,7,5000,971.795981956,1.007575712,1.009569000,1.048506600,1.065402500,1.120972930,6.682647000,0.000000000,1787958669.462746
docker,logistic_regression,20,1,8,5000,980.875651238,0.998666455,1.004027500,1.042171600,1.054328150,1.089052780,6.529336000,0.000000000,1787958692.781703
docker,logistic_regression,20,1,9,5000,991.031861548,0.988268130,0.999075000,1.036262900,1.051949750,1.182600720,6.357439000,0.000000000,1787958715.539708
docker,logistic_regression,20,1,10,5000,990.999822534,0.988163925,0.998212000,1.033067100,1.043702550,1.068847980,6.068080000,0.000000000,1787958738.465873
docker,logistic_regression,20,1,11,5000,971.962858817,1.007524134,1.009037500,1.041649600,1.050873500,1.076627270,6.724499000,0.000000000,1787958761.475384
docker,logistic_regression,20,1,12,5000,994.763510186,0.984879188,0.997549000,1.032233100,1.042003350,1.063128470,5.330646000,0.000000000,1787958784.715880
docker,logistic_regression,20,1,13,5000,1008.196384563,0.971212002,0.995193500,1.034610500,1.043925350,1.064177090,5.712170000,0.000000000,1787958807.850283
docker,logistic_regression,20,1,14,5000,985.993525340,0.993188060,1.002690500,1.038333300,1.046576900,1.067583630,6.610984000,0.000000000,1787958831.071021
docker,logistic_regression,20,1,15,5000,987.174814548,0.992090079,1.006022500,1.042912700,1.051661150,1.072413950,6.263504000,0.000000000,1787958854.463532
docker,logistic_regression,20,1,16,5000,985.343295192,0.994086741,1.002146500,1.036173400,1.046851750,1.067746460,6.195599000,0.000000000,1787958877.422547
docker,logistic_regression,20,1,17,5000,973.524991928,1.006230077,1.008459500,1.040356900,1.049483300,1.077602380,6.513190000,0.000000000,1787958900.615313
docker,logistic_regression,20,1,18,5000,982.424610579,0.997060773,1.004648500,1.043034700,1.053003700,1.077731060,6.727132000,0.000000000,1787958923.949285
docker,logistic_regression,20,1,19,5000,982.570541181,0.996315817,1.002891000,1.038247900,1.049593150,1.077821010,6.534736000,0.000000000,1787958947.169065
docker,logistic_regression,20,1,20,5000,984.008659800,0.995562258,1.003268000,1.038322900,1.048097150,1.069095040,6.626638000,0.000000000,1787958970.457219
docker,logistic_regression,20,1,21,5000,985.812812768,0.993479089,1.001537500,1.038805800,1.050384300,1.077582640,6.176020000,0.000000000,1787958993.903883
docker,logistic_regression,20,1,22,5000,985.261741082,0.993938482,1.007177500,1.042755900,1.053566050,1.077111280,4.672012000,0.000000000,1787959016.746717
docker,logistic_regression,20,1,23,5000,1008.733673251,0.970942391,0.994681000,1.033006100,1.044990750,1.071444210,6.388469000,0.000000000,1787959039.631362
docker,logistic_regression,20,1,24,5000,982.391757850,0.996711871,1.005220000,1.040152400,1.050303750,1.076062080,6.267526000,0.000000000,1787959062.903671
docker,logistic_regression,20,1,25,5000,982.805240376,0.996749718,1.006514000,1.043515400,1.053985400,1.079950040,6.452798000,0.000000000,1787959085.872461
docker,logistic_regression,20,1,26,5000,983.812774666,0.995466147,1.005895500,1.040214400,1.049515500,1.073923570,5.980195000,0.000000000,1787959109.109444
docker,logistic_regression,20,1,27,5000,988.055606235,0.991016620,1.001261000,1.038687600,1.049852150,1.077302700,6.394841000,0.000000000,1787959131.789217
docker,logistic_regression,20,1,28,5000,972.025465230,1.007747529,1.009773500,1.042808700,1.051474600,1.071439750,6.354696000,0.000000000,1787959155.220780
docker,logistic_regression,20,1,29,5000,972.652132366,1.007136256,1.010299500,1.043443300,1.052672350,1.071381660,6.483827000,0.000000000,1787959178.460882
docker,logistic_regression,20,1,30,5000,969.540428622,1.010341298,1.012624500,1.044153000,1.053104400,1.074567380,6.573080000,0.000000000,1787959201.611419
docker,logistic_regression,20,1,31,5000,976.655767442,1.002888783,1.007942500,1.041852700,1.050471500,1.071340640,6.420278000,0.000000000,1787959225.274188
docker,logistic_regression,20,1,32,5000,984.360928373,0.994782567,1.005452500,1.039287500,1.048252300,1.070952380,6.433063000,0.000000000,1787959248.342095
docker,logistic_regression,20,1,33,5000,975.437623102,1.004046961,1.008961000,1.040828100,1.048755050,1.070836240,6.600801000,0.000000000,1787959271.662328
docker,logistic_regression,20,1,34,5000,993.887279183,0.985418795,1.002801500,1.041162000,1.050490650,1.069173830,5.818485000,0.000000000,1787959294.830029
docker,logistic_regression,20,1,35,5000,1011.689736772,0.967871151,0.993446500,1.030376200,1.041686450,1.064781050,6.022034000,0.000000000,1787959318.137629
docker,logistic_regression,20,1,36,5000,992.535862722,0.986659330,1.003753000,1.038151900,1.047451400,1.068215070,7.131402000,0.000000000,1787959341.592787
docker,logistic_regression,20,1,37,5000,975.171307809,1.004504305,1.007251000,1.038872500,1.048099300,1.072737880,6.377527000,0.000000000,1787959364.938056
docker,logistic_regression,20,1,38,5000,981.108875896,0.998206004,1.002553000,1.037749800,1.047661100,1.071040030,5.133999000,0.000000000,1787959388.080218
docker,logistic_regression,20,1,39,5000,976.640857546,1.002840383,1.004984000,1.036765600,1.046193750,1.067842240,6.618717000,0.000000000,1787959410.992050
docker,logistic_regression,20,1,40,5000,979.338345619,1.000009286,1.007777500,1.040795600,1.050976450,1.070505790,6.256530000,0.000000000,1787959434.096947
docker,logistic_regression,20,1,41,5000,989.149355479,0.990009712,1.002706500,1.038529700,1.048348250,1.066389530,6.458721000,0.000000000,1787959457.117938
docker,logistic_regression,20,1,42,5000,989.648073568,0.989584352,1.003326500,1.037957300,1.047345400,1.070438890,6.886589000,0.000000000,1787959480.600878
docker,logistic_regression,20,1,43,5000,1000.426418761,0.978903182,0.998483000,1.035546300,1.047135400,1.068857200,6.232823000,0.000000000,1787959503.836804
docker,logistic_regression,20,1,44,5000,985.150638101,0.994179789,1.003907500,1.040805000,1.051964650,1.098751130,6.713164000,0.000000000,1787959526.639549
docker,logistic_regression,20,1,45,5000,982.567880631,0.996736286,1.008052500,1.046559300,1.058652450,1.099925480,7.001662000,0.000000000,1787959549.844154
docker,logistic_regression,20,1,46,5000,1013.605411144,0.965825834,0.995136500,1.031281100,1.042149550,1.068570110,6.586160000,0.000000000,1787959572.858003
docker,logistic_regression,20,1,47,5000,976.343880736,1.003085304,1.008958500,1.046931200,1.057928750,1.102884640,6.757331000,0.000000000,1787959595.739560
docker,logistic_regression,20,1,48,5000,1003.807155088,0.975659993,0.993891500,1.035115300,1.047583200,1.097488970,6.824759000,0.000000000,1787959619.293696
docker,logistic_regression,20,1,49,5000,988.157567077,0.990815132,1.002263000,1.041038300,1.054423300,1.135054510,6.734618000,0.000000000,1787959642.741856
docker,logistic_regression,20,1,50,5000,976.900233697,1.002752970,1.007121500,1.046153400,1.058942300,1.143132950,6.673524000,0.000000000,1787959665.831738
