backend,model,physical_units,concurrency,repetition,requests,throughput_rps,mean_latency_ms,p50_latency_ms,p90_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms,error_rate,timestamp_unix
docker,mlp,20,1,1,5000,3276.503018918,0.294811071,0.263476500,0.391097400,0.461693700,0.619289220,10.661905000,0.000000000,1787876135.679904
docker,mlp,20,1,2,5000,3692.952613483,0.261390778,0.259839500,0.270138600,0.274674100,0.320938550,2.609325000,0.000000000,1787876151.171358
docker,mlp,20,1,3,5000,3611.809205191,0.267168123,0.262648500,0.274481800,0.279497350,0.333641450,3.513645000,0.000000000,1787876166.371918
docker,mlp,20,1,4,5000,3695.373731957,0.261673003,0.260794500,0.273850200,0.280659500,0.368022200,14.479772000,0.000000000,1787876181.791593
docker,mlp,20,1,5,5000,3486.908878891,0.277303300,0.258858000,0.278447800,0.466443550,0.506687250,13.738825000,0.000000000,1787876197.912701
docker,mlp,20,1,6,5000,3265.402435075,0.296567674,0.263776000,0.452339100,0.490756300,0.674980720,5.644306000,0.000000000,1787876213.441748
docker,mlp,20,1,7,5000,3520.099724629,0.274477692,0.261986500,0.288597200,0.303354300,0.474669790,7.430838000,0.000000000,1787876229.370155
docker,mlp,20,1,8,5000,3604.496575756,0.267749357,0.259831500,0.272087000,0.281114400,0.376917020,10.301520000,0.000000000,1787876244.857470
docker,mlp,20,1,9,5000,3961.654724470,0.244936709,0.212525000,0.271919200,0.464657200,0.497908650,2.698278000,0.000000000,1787876260.369428
docker,mlp,20,1,10,5000,3459.427254686,0.279429590,0.261743500,0.280162700,0.463740800,0.500734680,8.822225000,0.000000000,1787876276.748826
docker,mlp,20,1,11,5000,3834.372509940,0.252428064,0.257777500,0.268807400,0.291922700,0.475108540,2.605477000,0.000000000,1787876292.199374
docker,mlp,20,1,12,5000,3416.758783556,0.283055882,0.261907000,0.291697700,0.460355600,0.498350860,14.103810000,0.000000000,1787876307.788716
docker,mlp,20,1,13,5000,3296.978438741,0.293622368,0.264579500,0.457824900,0.488476900,0.515143930,9.198032000,0.000000000,1787876323.946033
docker,mlp,20,1,14,5000,3246.137877938,0.298975627,0.263055500,0.477102500,0.493452050,0.516431620,8.771817000,0.000000000,1787876339.988111
docker,mlp,20,1,15,5000,3582.032202840,0.269553462,0.262082000,0.275331400,0.284754100,0.381900000,12.117645000,0.000000000,1787876356.043773
docker,mlp,20,1,16,5000,3162.803637393,0.306578092,0.265888500,0.472834500,0.496943050,0.672368530,4.987868000,0.000000000,1787876372.228246
docker,mlp,20,1,17,5000,3930.032794910,0.246547566,0.254136000,0.269472100,0.275344250,0.340508090,13.500948000,0.000000000,1787876387.845826
docker,mlp,20,1,18,5000,3819.573523915,0.253002327,0.258397500,0.269963000,0.275125050,0.316921520,2.637019000,0.000000000,1787876403.302579
docker,mlp,20,1,19,5000,3599.877042619,0.268237981,0.259807000,0.274506000,0.286755350,0.390691540,13.130263000,0.000000000,1787876419.001326
docker,mlp,20,1,20,5000,3863.978799332,0.250530070,0.255471500,0.269235200,0.293712100,0.470754130,2.584007000,0.000000000,1787876434.378361
docker,mlp,20,1,21,5000,3828.683953030,0.253074731,0.253784000,0.278509800,0.309378450,0.474137510,8.903274000,0.000000000,1787876449.525619
docker,mlp,20,1,22,5000,3292.480580439,0.294056406,0.265018500,0.457010400,0.492393500,0.529154980,5.213300000,0.000000000,1787876465.550488
docker,mlp,20,1,23,5000,2969.923988170,0.326996911,0.269538000,0.481789400,0.495366750,0.667606100,8.086116000,0.000000000,1787876482.020646
docker,mlp,20,1,24,5000,3241.978448495,0.298700741,0.266241500,0.460966000,0.482509450,0.512504840,10.899865000,0.000000000,1787876498.216505
docker,mlp,20,1,25,5000,3676.143422422,0.263608711,0.257972500,0.285303900,0.456751300,0.482433510,11.442417000,0.000000000,1787876513.567330
docker,mlp,20,1,26,5000,3586.247481360,0.269217994,0.261658000,0.274657300,0.282979050,0.380341630,11.799107000,0.000000000,1787876529.126747
docker,mlp,20,1,27,5000,3250.358586830,0.297840378,0.262820500,0.460109200,0.477409450,0.521766830,13.777130000,0.000000000,1787876544.838447
docker,mlp,20,1,28,5000,3452.045757659,0.280007663,0.262239500,0.282232200,0.449680400,0.478626690,9.177228000,0.000000000,1787876560.880859
docker,mlp,20,1,29,5000,3499.831764943,0.276355948,0.262378000,0.279169000,0.382249450,0.486087070,7.995307000,0.000000000,1787876576.562073
docker,mlp,20,1,30,5000,3409.506046477,0.284192742,0.260168500,0.459347200,0.472300350,0.501371070,2.967896000,0.000000000,1787876592.405068
docker,mlp,20,1,31,5000,3220.060456381,0.300591782,0.265319500,0.462593000,0.477672200,0.535862430,10.104969000,0.000000000,1787876608.244332
docker,mlp,20,1,32,5000,3381.795957017,0.286169403,0.258791000,0.442619300,0.467304300,0.492561970,12.686746000,0.000000000,1787876623.871089
docker,mlp,20,1,33,5000,2977.246949430,0.325806142,0.271160000,0.486101900,0.502808000,0.681405660,5.411762000,0.000000000,1787876640.087042
docker,mlp,20,1,34,5000,3333.715449114,0.290421053,0.261584000,0.454921800,0.480476500,0.511457140,7.961262000,0.000000000,1787876655.829596
docker,mlp,20,1,35,5000,3284.740821842,0.294659412,0.265476500,0.447515300,0.479940750,0.513179150,9.295011000,0.000000000,1787876671.473037
docker,mlp,20,1,36,5000,3560.541570087,0.271350391,0.262360000,0.277767000,0.285744200,0.397339640,10.461979000,0.000000000,1787876687.204623
docker,mlp,20,1,37,5000,3333.774583040,0.290292221,0.264905000,0.313948500,0.482101800,0.504419440,7.914289000,0.000000000,1787876703.455728
docker,mlp,20,1,38,5000,2863.342764773,0.339079127,0.271730500,0.491844200,0.572461450,0.704658520,7.162527000,0.000000000,1787876719.733601
docker,mlp,20,1,39,5000,3581.454844185,0.269960800,0.260848000,0.274752900,0.368375500,0.496112600,2.586229000,0.000000000,1787876735.320431
docker,mlp,20,1,40,5000,3469.943236412,0.278516271,0.260429500,0.279040700,0.460926150,0.506994280,11.314154000,0.000000000,1787876751.424286
docker,mlp,20,1,41,5000,3558.021076919,0.271353503,0.262410000,0.277223500,0.284974150,0.392450510,7.045339000,0.000000000,1787876767.400680
docker,mlp,20,1,42,5000,4022.421786236,0.241312190,0.214153500,0.269596500,0.325498700,0.472894770,12.950442000,0.000000000,1787876782.776166
docker,mlp,20,1,43,5000,4127.042877085,0.234891067,0.213589000,0.264691800,0.270573100,0.358825940,9.578825000,0.000000000,1787876797.837549
docker,mlp,20,1,44,5000,3218.521441189,0.300939371,0.262933000,0.461227600,0.476965200,0.510629980,11.821214000,0.000000000,1787876813.991724
docker,mlp,20,1,45,5000,3346.349322125,0.289207488,0.262257000,0.447573200,0.468631900,0.491797140,7.991587000,0.000000000,1787876830.211289
docker,mlp,20,1,46,5000,3627.211258858,0.267675602,0.257515000,0.344559300,0.480045400,0.509688140,7.588052000,0.000000000,1787876845.999006
docker,mlp,20,1,47,5000,3397.032129111,0.284648502,0.265081000,0.285170000,0.460446050,0.654346200,15.160022000,0.000000000,1787876862.130992
docker,mlp,20,1,48,5000,3612.941585381,0.267210880,0.262576500,0.281315300,0.287168800,0.325385010,2.636641000,0.000000000,1787876877.666696
docker,mlp,20,1,49,5000,3661.374836803,0.263531693,0.260964000,0.271515300,0.275879400,0.309828520,2.600165000,0.000000000,1787876893.149411
docker,mlp,20,1,50,5000,3751.107125209,0.257628661,0.258315000,0.271151000,0.280765450,0.370179930,10.142251000,0.000000000,1787876908.592428
docker,mlp,20,1,51,5000,3195.156107053,0.303280857,0.264955500,0.474525000,0.493375800,0.520760220,12.189354000,0.000000000,1787876924.283599
docker,mlp,20,1,52,5000,2952.001928458,0.328783386,0.269154000,0.488800600,0.662015500,0.698414610,7.294939000,0.000000000,1787876940.614957
docker,mlp,20,1,53,5000,3301.001655084,0.293131330,0.266209000,0.445046900,0.477898950,0.509756360,10.719694000,0.000000000,1787876957.051597
docker,mlp,20,1,54,5000,3397.882000779,0.285053718,0.263252000,0.435284500,0.469383900,0.512937160,6.588585000,0.000000000,1787876972.700602
docker,mlp,20,1,55,5000,3671.580529306,0.262808695,0.260098500,0.269287400,0.272941300,0.315735070,2.588075000,0.000000000,1787876988.704045
docker,mlp,20,1,56,5000,3361.687578800,0.288397626,0.261983000,0.461799600,0.481473050,0.520880970,12.023105000,0.000000000,1787877004.494016
docker,mlp,20,1,57,5000,3421.686748570,0.282699321,0.263020000,0.290700800,0.471125500,0.504484080,12.297121000,0.000000000,1787877019.899481
docker,mlp,20,1,58,5000,3810.053353480,0.253939716,0.258807000,0.273873900,0.281958900,0.374660560,12.235751000,0.000000000,1787877035.542954
docker,mlp,20,1,59,5000,3436.893064370,0.281546308,0.263632000,0.283954200,0.451038700,0.502604400,6.095101000,0.000000000,1787877051.024732
docker,mlp,20,1,60,5000,3384.559838495,0.286417103,0.265752500,0.459294600,0.486153000,0.510252570,8.370767000,0.000000000,1787877066.549010
docker,mlp,20,2,1,5000,5667.819931337,0.343324663,0.339188500,0.349078200,0.355598200,0.422036120,2.832408000,0.000000000,1787878878.828893
docker,mlp,20,2,2,5000,5640.505644170,0.344929899,0.340702500,0.350836300,0.358271050,0.425325210,2.883831000,0.000000000,1787878894.818405
docker,mlp,20,2,3,5000,5680.226228255,0.342512098,0.338282000,0.348712400,0.354853050,0.426527580,2.787566000,0.000000000,1787878910.688158
docker,mlp,20,2,4,5000,5631.867394040,0.345608220,0.341532500,0.351323600,0.357342350,0.433300300,2.901637000,0.000000000,1787878926.184802
docker,mlp,20,2,5,5000,6769.025726964,0.287536332,0.333302000,0.346688200,0.352499900,0.420909000,2.786510000,0.000000000,1787878941.622376
docker,mlp,20,2,6,5000,5507.248940135,0.353480989,0.344043500,0.352759300,0.358010100,0.422841200,12.714441000,0.000000000,1787878956.814448
docker,mlp,20,2,7,5000,5647.753315828,0.344549842,0.339302500,0.352089600,0.371812250,0.423433120,2.932731000,0.000000000,1787878971.871682
