backend,model,physical_units,concurrency,repetition,requests,throughput_rps,mean_latency_ms,p50_latency_ms,p90_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms,error_rate,timestamp_unix
docker,naive_bayes,20,16,1,5000,5891.614023115,2.699220782,2.688175500,2.880852200,2.990197850,3.439319580,6.903060000,0.000000000,1787687460.206707
docker,naive_bayes,20,16,2,5000,5998.610658120,2.651045437,2.681685500,2.963408400,3.019359950,3.448655720,7.053808000,0.000000000,1787687477.348235
docker,naive_bayes,20,16,3,5000,5904.143063063,2.693583790,2.680211000,2.883865300,2.981871400,3.480401650,6.793703000,0.000000000,1787687494.400892
docker,naive_bayes,20,16,4,5000,5836.829883795,2.724716156,2.711745000,2.965150700,3.043498500,3.470698040,6.980764000,0.000000000,1787687511.802136
docker,naive_bayes,20,16,5,5000,7213.613862279,2.203976808,2.136974500,2.886353500,3.010669650,3.507294040,6.994893000,0.000000000,1787687529.003047
docker,naive_bayes,20,16,6,5000,5962.849210113,2.666845587,2.660626000,2.942499800,3.009235300,3.419958260,6.827675000,0.000000000,1787687546.164474
docker,naive_bayes,20,16,7,5000,5835.955127037,2.723990826,2.704222000,2.976234900,3.069820450,3.498320080,7.102470000,0.000000000,1787687563.563747
docker,naive_bayes,20,16,8,5000,5909.796185498,2.690942565,2.679976500,2.918722700,3.000129900,3.390177430,6.880877000,0.000000000,1787687581.014887
docker,naive_bayes,20,16,9,5000,7117.370501288,2.233242119,2.372600500,2.840820800,2.956656900,3.470099490,4.601338000,0.000000000,1787687598.524326
docker,naive_bayes,20,16,10,5000,5959.881312541,2.668426626,2.663453500,2.949256600,3.014718600,3.392996260,6.954248000,0.000000000,1787687615.808080
docker,naive_bayes,20,16,11,5000,5931.550294357,2.680724320,2.673448500,2.948031800,3.007064100,3.429827670,6.947154000,0.000000000,1787687633.217592
docker,naive_bayes,20,16,12,5000,5899.970656139,2.695437698,2.686929000,2.902508500,2.999814550,3.383590370,6.737511000,0.000000000,1787687650.611297
docker,naive_bayes,20,16,13,5000,5838.815975701,2.723659066,2.702382500,2.946899900,3.023955550,3.571608720,6.741071000,0.000000000,1787687668.181906
docker,naive_bayes,20,16,14,5000,5926.383034782,2.683089613,2.672923000,2.876384300,2.974553300,3.440855430,6.913764000,0.000000000,1787687685.344168
docker,naive_bayes,20,16,15,5000,5875.052136321,2.706394611,2.688567000,2.874515500,2.993110800,3.521936030,7.082509000,0.000000000,1787687702.466843
docker,naive_bayes,20,16,16,5000,5820.876191183,2.731993844,2.724868500,2.947401000,3.041066250,3.396905240,6.886183000,0.000000000,1787687720.003326
docker,naive_bayes,20,16,17,5000,5938.902400034,2.677871252,2.669939500,2.952556200,3.016741350,3.440521980,7.079423000,0.000000000,1787687737.536116
docker,naive_bayes,20,16,18,5000,5939.593276235,2.677550644,2.682709000,2.923104800,2.989948700,3.463342530,6.963416000,0.000000000,1787687754.966225
docker,naive_bayes,20,16,19,5000,5839.331486379,2.723095854,2.717355500,2.999381200,3.072411700,3.476685370,6.865765000,0.000000000,1787687772.474591
