backend,model,physical_units,concurrency,repetition,requests,throughput_rps,mean_latency_ms,p50_latency_ms,p90_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms,error_rate,timestamp_unix
docker,random_forest,20,2,1,5000,1960.611591484,1.008331114,0.978097500,1.388055800,1.628785100,1.722336490,4.764602000,0.000000000,1787800092.840851
docker,random_forest,20,2,2,5000,1896.819592831,1.042612012,1.003535500,1.498481400,1.646801800,1.758084450,3.613914000,0.000000000,1787800115.547664
docker,random_forest,20,2,3,5000,2211.768457579,0.894420824,0.898814000,0.983451000,1.032078200,1.106197100,4.186506000,0.000000000,1787800137.446477
docker,random_forest,20,2,4,5000,2212.415029980,0.894114020,0.895917500,0.932642600,0.944321650,1.059466500,3.854134000,0.000000000,1787800159.002615
docker,random_forest,20,2,5,5000,2358.184629440,0.838506143,0.882790000,0.939884100,0.960222600,1.020381540,3.325922000,0.000000000,1787800179.794374
docker,random_forest,20,2,6,5000,1569.341723765,1.258105597,1.118399000,1.644466800,1.678654950,1.785998580,6.420476000,0.000000000,1787800201.771211
docker,random_forest,20,2,7,5000,2039.387240286,0.969567174,0.888433000,1.459226100,1.662092750,1.801200000,3.768411000,0.000000000,1787800222.901749
docker,random_forest,20,2,8,5000,1802.493110617,1.096318512,1.064560500,1.602851400,1.646718350,1.754093210,4.612360000,0.000000000,1787800244.775392
docker,random_forest,20,2,9,5000,1835.783748160,1.076946079,1.059905500,1.540583400,1.636454600,1.739773240,4.722705000,0.000000000,1787800266.535445
docker,random_forest,20,2,10,5000,2281.076888175,0.867979256,0.887596500,0.947330100,0.964730700,1.016899320,3.087506000,0.000000000,1787800287.604910
docker,random_forest,20,2,11,5000,2246.622327108,0.880049580,0.900944500,0.962819100,1.000833650,1.057008760,3.669879000,0.000000000,1787800308.578504
docker,random_forest,20,2,12,5000,1964.587539634,1.007107000,0.983737000,1.192885400,1.582336600,1.685546500,4.177810000,0.000000000,1787800329.308923
docker,random_forest,20,2,13,5000,1709.874589398,1.156137140,1.083256000,1.578092400,1.643185250,1.717581030,3.740399000,0.000000000,1787800350.922932
docker,random_forest,20,2,14,5000,1940.453938680,1.020259214,1.050105000,1.102788400,1.114950450,1.150382720,4.501291000,0.000000000,1787800372.429046
docker,random_forest,20,2,15,5000,2109.823131258,0.938288932,0.935101000,1.076672100,1.094589100,1.134696690,2.893326000,0.000000000,1787800393.689065
docker,random_forest,20,2,16,5000,1853.501236639,1.066837577,1.057274000,1.336502100,1.646530950,1.737624720,4.439905000,0.000000000,1787800415.350653
docker,random_forest,20,2,17,5000,1706.111573290,1.156960842,1.085919500,1.625939200,1.656267100,1.746220810,6.137343000,0.000000000,1787800436.993850
docker,random_forest,20,2,18,5000,2178.421217985,0.907936652,0.918860500,1.016999600,1.049345800,1.123605970,3.062938000,0.000000000,1787800457.885357
docker,random_forest,20,2,19,5000,1727.819425102,1.144558364,1.089873000,1.542058700,1.662942800,1.769536980,6.008797000,0.000000000,1787800479.746031
docker,random_forest,20,2,20,5000,1626.604501336,1.213901516,1.100226000,1.635406200,1.670453850,1.783277790,5.003958000,0.000000000,1787800501.934616
docker,random_forest,20,2,21,5000,2124.345011914,0.931356451,0.945425500,1.083463400,1.102265250,1.175457210,3.779857000,0.000000000,1787800522.690281
docker,random_forest,20,2,22,5000,1724.711006705,1.146403737,1.078922500,1.594857600,1.644752900,1.750480960,5.000049000,0.000000000,1787800544.348104
docker,random_forest,20,2,23,5000,2064.047340141,0.958662206,0.944938500,1.089024600,1.108763200,1.223166100,3.168070000,0.000000000,1787800565.576609
docker,random_forest,20,2,24,5000,1545.305220687,1.277273513,1.141738000,1.646408400,1.684324650,1.806085850,4.882561000,0.000000000,1787800587.963767
docker,random_forest,20,2,25,5000,2030.442258982,0.974699777,0.971213000,1.098762600,1.122773950,1.221132680,3.641837000,0.000000000,1787800609.307474
docker,random_forest,20,2,26,5000,1752.318152849,1.128254852,1.073438500,1.586078700,1.651237550,1.804213990,4.273346000,0.000000000,1787800630.872079
docker,random_forest,20,2,27,5000,1969.237872087,1.004985797,1.037569500,1.106401200,1.121916700,1.172543830,4.158387000,0.000000000,1787800651.915508
docker,random_forest,20,2,28,5000,1791.153321142,1.104410079,1.066536500,1.447848600,1.621692300,1.714230300,3.373451000,0.000000000,1787800673.846421
docker,random_forest,20,2,29,5000,2093.285313215,0.945122080,0.933578000,1.095482000,1.124033500,1.225400530,3.045199000,0.000000000,1787800695.054574
docker,random_forest,20,2,30,5000,1564.871475254,1.260972651,1.128781500,1.652812300,1.693549300,1.803766220,4.986534000,0.000000000,1787800717.023045
docker,random_forest,20,2,31,5000,1693.312979012,1.167201065,1.085284000,1.602918700,1.650857600,1.729830700,6.568942000,0.000000000,1787800739.044159
docker,random_forest,20,2,32,5000,2097.351090233,0.943588000,0.943192500,1.063503900,1.086440550,1.136760420,4.206165000,0.000000000,1787800759.861399
docker,random_forest,20,2,33,5000,2129.327013261,0.929268075,0.925686000,1.025607300,1.066211100,1.111091470,3.549842000,0.000000000,1787800780.427364
docker,random_forest,20,2,34,5000,1652.530634989,1.195693426,1.096817000,1.639374600,1.677335900,1.807579110,4.631062000,0.000000000,1787800802.370616
docker,random_forest,20,2,35,5000,1634.520680802,1.208607211,1.101095000,1.625777300,1.660939250,1.793620850,4.994246000,0.000000000,1787800824.433229
docker,random_forest,20,2,36,5000,2284.616274526,0.865938860,0.916721500,1.026606700,1.059607000,1.111575250,3.628416000,0.000000000,1787800845.392623
docker,random_forest,20,2,37,5000,2156.388293021,0.917206869,0.940632000,1.049272000,1.081251900,1.134402270,3.405478000,0.000000000,1787800866.446299
docker,random_forest,20,2,38,5000,1797.186842876,1.099511492,1.059594000,1.610593100,1.648333900,1.725594380,6.031410000,0.000000000,1787800888.466847
docker,random_forest,20,2,39,5000,2263.965974252,0.873418845,0.894329500,0.948134100,0.979336900,1.092556840,3.325903000,0.000000000,1787800909.818362
docker,random_forest,20,2,40,5000,1780.354239722,1.109780895,1.061966000,1.617997000,1.667436600,1.763076100,5.009435000,0.000000000,1787800931.593524
docker,random_forest,20,2,41,5000,2407.040716865,0.821972628,0.868315000,0.920992800,0.934550450,0.988999260,2.776053000,0.000000000,1787800952.184525
docker,random_forest,20,2,42,5000,1930.304087015,1.025718343,1.053029000,1.104091200,1.117236750,1.160098970,3.719829000,0.000000000,1787800973.194230
docker,random_forest,20,2,43,5000,1561.981885072,1.263614310,1.129979000,1.645787700,1.688327800,1.797345590,5.064115000,0.000000000,1787800995.371711
