backend,model,physical_units,concurrency,repetition,requests,throughput_rps,mean_latency_ms,p50_latency_ms,p90_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms,error_rate,timestamp_unix
docker,random_forest,1,1,1,5000,4301.290718113,0.224499282,0.244149500,0.257399100,0.263647550,0.293805640,2.337010000,0.000000000,1787798733.824044
docker,random_forest,1,1,2,5000,3739.447417569,0.258314908,0.262435000,0.282312700,0.285906450,0.304824990,2.875483000,0.000000000,1787798739.052708
docker,random_forest,1,1,3,5000,3715.522420900,0.259388576,0.250053500,0.257949000,0.262428600,0.346326170,13.262375000,0.000000000,1787798744.189236
docker,random_forest,1,1,4,5000,3465.862221487,0.278823412,0.276796500,0.288343800,0.292520100,0.335208450,6.528508000,0.000000000,1787798749.600712
docker,random_forest,1,1,5,5000,5066.590846203,0.191134508,0.187243500,0.194157300,0.205091050,0.252503700,1.830297000,0.000000000,1787798754.432943
docker,random_forest,1,1,6,5000,3541.519848937,0.272536253,0.264194000,0.282639100,0.287242250,0.356495310,8.478275000,0.000000000,1787798759.749409
docker,random_forest,1,1,7,5000,3523.246470431,0.274017888,0.270960000,0.286740900,0.290210600,0.337881460,12.594226000,0.000000000,1787798765.181143
docker,random_forest,1,1,8,5000,3824.082324700,0.253081599,0.262722000,0.279264100,0.282463400,0.291396580,2.870785000,0.000000000,1787798770.442592
docker,random_forest,1,1,9,5000,4437.362881447,0.217641015,0.192198500,0.256300200,0.260242500,0.286907720,1.776392000,0.000000000,1787798775.482580
docker,random_forest,1,1,10,5000,3565.304188631,0.270654652,0.266368500,0.283462700,0.287503400,0.301435560,3.778410000,0.000000000,1787798780.806001
docker,random_forest,1,1,11,5000,4084.439421011,0.236138536,0.246550000,0.254863700,0.259458350,0.285824360,2.406141000,0.000000000,1787798786.057521
docker,random_forest,1,1,12,5000,4977.671490714,0.194842997,0.190077500,0.205956800,0.223076950,0.254939070,1.760749000,0.000000000,1787798791.072864
docker,random_forest,1,1,13,5000,4140.958749174,0.233474276,0.250255000,0.279284100,0.283505450,0.294774370,2.612879000,0.000000000,1787798796.311150
docker,random_forest,1,1,14,5000,3695.528083356,0.261184431,0.252469500,0.278109400,0.283780350,0.364857000,6.329988000,0.000000000,1787798801.674173
docker,random_forest,1,1,15,5000,3570.081205754,0.270392636,0.269485500,0.280886000,0.284086000,0.297570210,6.607971000,0.000000000,1787798806.858574
docker,random_forest,1,1,16,5000,3849.018117053,0.251123670,0.270179000,0.282185300,0.286028700,0.303205370,3.020400000,0.000000000,1787798811.617649
docker,random_forest,1,1,17,5000,3794.815325034,0.253732249,0.249309000,0.257369100,0.263547900,0.292588570,2.810010000,0.000000000,1787798816.889412
docker,random_forest,1,1,18,5000,4373.021726379,0.221093569,0.194263000,0.255688400,0.260717100,0.286755250,5.853168000,0.000000000,1787798822.017299
docker,random_forest,1,1,19,5000,3863.711567354,0.249566700,0.251541500,0.260942200,0.269177450,0.298813220,2.578029000,0.000000000,1787798827.298823
docker,random_forest,1,1,20,5000,4507.526000499,0.214457577,0.189255500,0.255534700,0.260475200,0.285385620,1.783893000,0.000000000,1787798832.313167
docker,random_forest,1,1,21,5000,4022.401597313,0.240471222,0.246507500,0.262071800,0.270905600,0.285965910,2.683853000,0.000000000,1787798837.080990
docker,random_forest,1,1,22,5000,3540.149246793,0.272639059,0.264391000,0.284763800,0.288652100,0.356968100,5.870341000,0.000000000,1787798842.611645
docker,random_forest,1,1,23,5000,3752.551998554,0.257699501,0.259861500,0.281676000,0.285696200,0.309616510,6.584798000,0.000000000,1787798847.924567
docker,random_forest,1,1,24,5000,5096.781323316,0.190183515,0.185352000,0.192170400,0.197207800,0.288591270,1.723977000,0.000000000,1787798852.924437
docker,random_forest,1,1,25,5000,3661.629374937,0.263478455,0.255603000,0.282596000,0.286453450,0.294897090,2.396660000,0.000000000,1787798857.773340
docker,random_forest,1,1,26,5000,3786.001393111,0.254488093,0.250326000,0.258483100,0.264827750,0.307329310,2.436854000,0.000000000,1787798863.093151
docker,random_forest,1,1,27,5000,4379.691887221,0.220534569,0.193856000,0.258885800,0.262913100,0.287339430,1.806377000,0.000000000,1787798868.136831
docker,random_forest,1,1,28,5000,4141.298617933,0.233491216,0.255544500,0.278973900,0.282500500,0.295426890,2.841147000,0.000000000,1787798873.317859
docker,random_forest,1,1,29,5000,3982.861181065,0.241993395,0.248575000,0.256515800,0.261236250,0.287411080,8.493991000,0.000000000,1787798878.668581
docker,random_forest,1,1,30,5000,3622.682108100,0.266234051,0.257169500,0.283918700,0.287886050,0.307779820,2.914593000,0.000000000,1787798883.796602
docker,random_forest,1,1,31,5000,5177.106559895,0.187099285,0.183345000,0.190191300,0.196876150,0.250948260,1.676166000,0.000000000,1787798888.829751
docker,random_forest,1,1,32,5000,3486.267863764,0.276282775,0.256256000,0.301895600,0.384832950,0.661177510,3.343433000,0.000000000,1787798894.067030
docker,random_forest,1,1,33,5000,3844.760558495,0.250636976,0.249605500,0.257254100,0.261948750,0.284739010,2.416095000,0.000000000,1787798899.308577
docker,random_forest,1,1,34,5000,5092.616363894,0.190311441,0.186034000,0.193139100,0.213726750,0.255965990,1.727741000,0.000000000,1787798904.258110
docker,random_forest,1,1,35,5000,3983.215681929,0.243339854,0.226550500,0.280004700,0.283671300,0.292999280,2.256376000,0.000000000,1787798909.539387
docker,random_forest,1,1,36,5000,3759.615527147,0.256040606,0.250765500,0.259626500,0.265194050,0.294581340,6.227229000,0.000000000,1787798914.912899
docker,random_forest,1,1,37,5000,5061.350881796,0.191314563,0.187006000,0.194437100,0.223727350,0.251928510,1.718233000,0.000000000,1787798919.751337
docker,random_forest,1,1,38,5000,3775.247907572,0.255146192,0.249353500,0.257924300,0.265904650,0.384082540,2.494782000,0.000000000,1787798925.048054
docker,random_forest,1,1,39,5000,3359.634254492,0.287837009,0.280571000,0.299407200,0.313725400,1.090417820,4.329972000,0.000000000,1787798930.922310
docker,random_forest,1,1,40,5000,4054.617596279,0.238169745,0.250113500,0.262227000,0.269863800,0.287626270,2.545214000,0.000000000,1787798936.003359
docker,random_forest,1,1,41,5000,3975.325156390,0.242558828,0.248264000,0.256630700,0.262715550,0.322023660,2.471068000,0.000000000,1787798941.338978
docker,random_forest,1,1,42,5000,3986.661647983,0.242551977,0.247135500,0.266997200,0.276830250,0.288877170,2.663759000,0.000000000,1787798946.330050
docker,random_forest,1,1,43,5000,4997.504291349,0.193947397,0.189537000,0.196683300,0.218357250,0.253577920,1.700229000,0.000000000,1787798951.134685
docker,random_forest,1,1,44,5000,3902.975693164,0.246807016,0.247912000,0.256225300,0.260803000,0.286988020,2.409118000,0.000000000,1787798956.522714
docker,random_forest,1,1,45,5000,5063.755117147,0.191281420,0.187112000,0.194229800,0.206396750,0.253575880,1.794965000,0.000000000,1787798961.132837
docker,random_forest,1,1,46,5000,5111.542849946,0.189475181,0.185437000,0.192856800,0.219260950,0.250612960,1.817787000,0.000000000,1787798965.968173
docker,random_forest,1,1,47,5000,4064.335323260,0.238377356,0.218827500,0.281169100,0.285358600,0.295935050,2.371326000,0.000000000,1787798971.177190
docker,random_forest,1,1,48,5000,5085.863490783,0.190499652,0.186231500,0.194014100,0.218144850,0.252054450,1.826253000,0.000000000,1787798976.157294
docker,random_forest,1,1,49,5000,4435.808370786,0.217814806,0.192554000,0.253921100,0.257816650,0.287878380,1.815709000,0.000000000,1787798981.098622
docker,random_forest,1,1,50,5000,4112.472283521,0.234936023,0.247150000,0.257015200,0.262072950,0.288308830,2.458138000,0.000000000,1787798986.156113
docker,random_forest,1,1,51,5000,3787.996356518,0.254372585,0.249442500,0.258367400,0.270782600,0.303831090,2.456579000,0.000000000,1787798991.284707
docker,random_forest,1,1,52,5000,3918.631506396,0.245930901,0.248893000,0.256525800,0.260704100,0.288678480,2.394803000,0.000000000,1787798996.441938
docker,random_forest,1,1,53,5000,4251.539776295,0.227134969,0.246823500,0.256434000,0.261492550,0.286261610,2.462634000,0.000000000,1787799001.397212
docker,random_forest,1,1,54,5000,3846.455899989,0.250713308,0.250332500,0.258348800,0.264398650,0.292122420,4.425239000,0.000000000,1787799006.579881
docker,random_forest,1,1,55,5000,4462.626417589,0.216532738,0.191370500,0.253432300,0.258187600,0.286068980,1.829903000,0.000000000,1787799011.203014
docker,random_forest,1,1,56,5000,4427.889525034,0.218078030,0.192221000,0.255227900,0.259687300,0.285235290,1.760294000,0.000000000,1787799016.130416
docker,random_forest,1,1,57,5000,3648.817997112,0.264392072,0.257408500,0.281189100,0.285674150,0.297758850,2.449842000,0.000000000,1787799021.476254
docker,random_forest,1,1,58,5000,4469.803787357,0.216208255,0.190516500,0.254349300,0.259198900,0.285057090,1.848124000,0.000000000,1787799026.466693
docker,random_forest,1,1,59,5000,4419.325305237,0.218918424,0.189018000,0.275892100,0.280649150,0.296273490,3.410439000,0.000000000,1787799031.556834
docker,random_forest,1,1,60,5000,3573.715290210,0.270118921,0.265250000,0.280180100,0.283956400,0.299100060,6.898335000,0.000000000,1787799037.042859
