backend,model,physical_units,concurrency,repetition,requests,throughput_rps,mean_latency_ms,p50_latency_ms,p90_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms,error_rate,timestamp_unix
docker,svm,20,1,1,5000,644.894997136,1.520009403,1.605395000,1.658539400,1.670787000,1.706690920,6.346386000,0.000000000,1787850397.327294
docker,svm,20,1,2,5000,627.305874516,1.560381960,1.640383000,1.690202700,1.705310650,1.747379260,6.830996000,0.000000000,1787850428.818710
docker,svm,20,1,3,5000,707.738424687,1.384761023,1.303586500,1.654964000,1.669297400,1.697849120,6.615737000,0.000000000,1787850459.462367
docker,svm,20,1,4,5000,641.756895844,1.526546000,1.616213500,1.667027200,1.678563400,1.708813270,6.630831000,0.000000000,1787850490.576762
docker,svm,20,1,5,5000,793.282332136,1.236846244,1.265266000,1.311171600,1.321918050,1.343012740,8.146259000,0.000000000,1787850520.237133
docker,svm,20,1,6,5000,788.321298079,1.244871950,1.266072000,1.313788400,1.325868750,1.357707320,7.430783000,0.000000000,1787850549.920932
docker,svm,20,1,7,5000,646.764496603,1.515592634,1.602186000,1.664433100,1.677837100,1.713285840,6.565355000,0.000000000,1787850580.902881
docker,svm,20,1,8,5000,792.253490602,1.238336285,1.264897000,1.308437900,1.320209100,1.345608910,7.836004000,0.000000000,1787850610.766902
docker,svm,20,1,9,5000,651.901832864,1.503875178,1.593201000,1.656216600,1.669035850,1.700349720,7.432788000,0.000000000,1787850641.794242
docker,svm,20,1,10,5000,821.417351378,1.194101192,1.240437500,1.294668700,1.309008150,1.336970600,7.345662000,0.000000000,1787850671.233649
docker,svm,20,1,11,5000,633.726778739,1.544765924,1.626512000,1.675380900,1.688986700,1.720677020,7.679774000,0.000000000,1787850702.909028
docker,svm,20,1,12,5000,635.890002050,1.540806278,1.626105000,1.679113900,1.691918950,1.725030930,7.520168000,0.000000000,1787850734.054108
docker,svm,20,1,13,5000,768.701014208,1.276326472,1.280637000,1.313779100,1.324426700,1.343834150,7.354257000,0.000000000,1787850763.887901
docker,svm,20,1,14,5000,642.715190470,1.524138740,1.615313500,1.669602800,1.683869750,1.722065170,6.548583000,0.000000000,1787850795.414956
docker,svm,20,1,15,5000,650.528446493,1.506070771,1.594153500,1.654451600,1.667453350,1.697917670,6.662351000,0.000000000,1787850826.645685
docker,svm,20,1,16,5000,816.749763919,1.201029552,1.242973000,1.292978000,1.306644500,1.329342560,7.354936000,0.000000000,1787850855.520816
docker,svm,20,1,17,5000,646.456409844,1.516629246,1.604227000,1.656609400,1.669662150,1.707211620,6.181975000,0.000000000,1787850886.800794
docker,svm,20,1,18,5000,786.806106326,1.247224525,1.266811000,1.310425200,1.322110350,1.348730170,7.982743000,0.000000000,1787850916.181727
docker,svm,20,1,19,5000,646.820045247,1.514730118,1.596208000,1.659319500,1.673492100,1.721870210,6.489356000,0.000000000,1787850947.483580
docker,svm,20,1,20,5000,652.647079218,1.502078668,1.582573000,1.650073200,1.665598350,1.697049510,6.337252000,0.000000000,1787850978.679717
docker,svm,20,1,21,5000,694.138032767,1.412094937,1.384062000,1.666802300,1.681806300,1.714039120,6.544962000,0.000000000,1787851009.488572
docker,svm,20,1,22,5000,701.222355818,1.397779803,1.326447500,1.660729400,1.676521000,1.708723290,6.657832000,0.000000000,1787851039.930875
docker,svm,20,1,23,5000,639.596728418,1.532805649,1.618338000,1.666875200,1.680517250,1.716513630,6.692435000,0.000000000,1787851071.088761
docker,svm,20,1,24,5000,649.625112088,1.508611831,1.592339500,1.657578500,1.671244300,1.707257470,8.111011000,0.000000000,1787851102.322033
docker,svm,20,1,25,5000,635.893178418,1.540300719,1.627607500,1.688960800,1.704000950,1.737050630,7.591350000,0.000000000,1787851133.597391
