backend,model,physical_units,concurrency,repetition,requests,throughput_rps,mean_latency_ms,p50_latency_ms,p90_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms,error_rate,timestamp_unix
wasmtime,decision_tree,20,1,1,5000,5657.933849371,0.169774851,0.149620500,0.209226100,0.213689150,0.237550140,1.712184000,0.000000000,1787756069.489161
wasmtime,decision_tree,20,1,2,5000,6426.624811004,0.149798918,0.146263500,0.151898300,0.155873200,0.235340680,1.784073000,0.000000000,1787756072.970955
wasmtime,decision_tree,20,1,3,5000,5130.177024682,0.186924557,0.200884000,0.208456000,0.212385150,0.237405180,2.438522000,0.000000000,1787756076.851159
wasmtime,decision_tree,20,1,4,5000,5689.790821020,0.168882241,0.148556000,0.206366200,0.210687850,0.237411820,1.990801000,0.000000000,1787756080.424443
wasmtime,decision_tree,20,1,5,5000,6384.163179214,0.150840543,0.146766000,0.153963200,0.196660450,0.205517710,1.823855000,0.000000000,1787756083.810144
wasmtime,decision_tree,20,1,6,5000,6392.628735162,0.150579321,0.146702000,0.152925200,0.195821150,0.204589780,1.814223000,0.000000000,1787756087.001134
wasmtime,decision_tree,20,1,7,5000,6382.942726830,0.150873092,0.146712000,0.153345500,0.197577150,0.206106440,2.020745000,0.000000000,1787756090.370874
wasmtime,decision_tree,20,1,8,5000,6466.359180631,0.148817544,0.144994000,0.151207000,0.194168550,0.202786240,1.796690000,0.000000000,1787756093.778226
wasmtime,decision_tree,20,1,9,5000,5590.570947623,0.171881604,0.149819500,0.209560400,0.214138150,0.237916130,1.823186000,0.000000000,1787756097.357703
wasmtime,decision_tree,20,1,10,5000,6346.837748790,0.151712057,0.147923500,0.153897800,0.196469550,0.205012590,1.831217000,0.000000000,1787756100.709873
wasmtime,decision_tree,20,1,11,5000,6437.895242112,0.149553356,0.145568000,0.152090100,0.196381700,0.205587180,1.706024000,0.000000000,1787756103.988386
wasmtime,decision_tree,20,1,12,5000,6381.040426072,0.150972450,0.146835000,0.153461100,0.196686450,0.205807070,1.826004000,0.000000000,1787756107.383315
wasmtime,decision_tree,20,1,13,5000,6273.195581650,0.153717545,0.147223500,0.152595900,0.155470050,0.220254760,8.864307000,0.000000000,1787756110.782781
wasmtime,decision_tree,20,1,14,5000,6400.820444366,0.150376032,0.146582000,0.152420500,0.195673850,0.204243570,1.811313000,0.000000000,1787756113.985629
wasmtime,decision_tree,20,1,15,5000,5549.869121667,0.172904336,0.149977500,0.208730900,0.213393250,0.237267970,1.724078000,0.000000000,1787756117.594646
wasmtime,decision_tree,20,1,16,5000,5760.434245038,0.166754459,0.148349500,0.207485300,0.212052250,0.237868410,1.841196000,0.000000000,1787756120.975122
wasmtime,decision_tree,20,1,17,5000,6282.235527334,0.153251898,0.148774500,0.154915100,0.158941550,0.243234700,1.861650000,0.000000000,1787756124.455466
