backend,model,physical_units,concurrency,repetition,requests,throughput_rps,mean_latency_ms,p50_latency_ms,p90_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms,error_rate,timestamp_unix
wasmtime,kmeans,20,1,1,5000,6445.633386535,0.148954646,0.139110000,0.191219500,0.198922950,0.221784830,1.927799000,0.000000000,1788131691.498916
wasmtime,kmeans,20,1,2,5000,4871.107809260,0.196012886,0.192572500,0.200089900,0.209320950,0.233508960,2.402982000,0.000000000,1788131695.399194
wasmtime,kmeans,20,1,3,5000,4864.091364534,0.196293441,0.193476000,0.200484200,0.206421800,0.223334620,2.671404000,0.000000000,1788131699.313827
wasmtime,kmeans,20,1,4,5000,5609.324991556,0.170633060,0.189114500,0.199156400,0.209721350,0.221592350,2.472272000,0.000000000,1788131703.084752
wasmtime,kmeans,20,1,5,5000,5482.118732637,0.174495628,0.188012000,0.195550100,0.197851650,0.222146060,2.383002000,0.000000000,1788131706.752787
wasmtime,kmeans,20,1,6,5000,4937.585746227,0.193378913,0.191347500,0.198056700,0.203159350,0.219584480,2.444113000,0.000000000,1788131710.233310
wasmtime,kmeans,20,1,7,5000,5826.289973389,0.164493013,0.142498000,0.198768200,0.206420850,0.229366490,1.823908000,0.000000000,1788131713.973880
wasmtime,kmeans,20,1,8,5000,6013.845475922,0.159226283,0.140254000,0.197578000,0.205747750,0.222265430,1.702874000,0.000000000,1788131717.578238
wasmtime,kmeans,20,1,9,5000,6745.222737124,0.142491090,0.139079000,0.145414700,0.151900600,0.213918910,1.832056000,0.000000000,1788131721.149879
wasmtime,kmeans,20,1,10,5000,6738.816981118,0.142619151,0.138671000,0.146070400,0.182260350,0.190703690,1.831571000,0.000000000,1788131724.241402
wasmtime,kmeans,20,1,11,5000,6649.335636116,0.144428585,0.138457000,0.147815100,0.183055200,0.204487670,1.978688000,0.000000000,1788131727.353380
wasmtime,kmeans,20,1,12,5000,6616.861978190,0.145196389,0.138459500,0.148699500,0.183775000,0.237313020,1.881475000,0.000000000,1788131730.870515
wasmtime,kmeans,20,1,13,5000,6577.584501074,0.146025631,0.138951500,0.184702400,0.196306800,0.219384560,1.822538000,0.000000000,1788131734.089912
wasmtime,kmeans,20,1,14,5000,6000.895665158,0.159821771,0.141001500,0.196851400,0.201572750,0.219724470,1.835163000,0.000000000,1788131737.600350
wasmtime,kmeans,20,1,15,5000,6733.640342888,0.142607100,0.137972000,0.145129300,0.180770250,0.190575710,1.964827000,0.000000000,1788131740.960943
wasmtime,kmeans,20,1,16,5000,5742.910777151,0.166619763,0.184278500,0.194457300,0.197065850,0.204900640,1.822457000,0.000000000,1788131744.605080
wasmtime,kmeans,20,1,17,5000,5891.838864456,0.162650933,0.142466500,0.195340600,0.198000450,0.206308550,1.818225000,0.000000000,1788131747.868985
wasmtime,kmeans,20,1,18,5000,6352.642987202,0.151030500,0.139840000,0.193689400,0.203345450,0.242262750,1.902020000,0.000000000,1788131751.229915
wasmtime,kmeans,20,1,19,5000,5032.231813214,0.189725023,0.192643000,0.199384800,0.204095400,0.220889230,2.455694000,0.000000000,1788131754.848194
wasmtime,kmeans,20,1,20,5000,5325.163226088,0.179494871,0.191433500,0.198686900,0.203908500,0.225176870,2.550649000,0.000000000,1788131758.276626
wasmtime,kmeans,20,1,21,5000,6535.431114577,0.146938894,0.140133000,0.148933200,0.184521700,0.252190570,1.938940000,0.000000000,1788131761.405065
wasmtime,kmeans,20,1,22,5000,4956.513081070,0.192612701,0.190447000,0.197299100,0.202045500,0.217732810,2.437838000,0.000000000,1788131765.038245
wasmtime,kmeans,20,1,23,5000,5782.392967840,0.165643344,0.143403500,0.200159400,0.207750800,0.222198510,1.988366000,0.000000000,1788131768.720172
wasmtime,kmeans,20,1,24,5000,4990.965931937,0.191268665,0.191415000,0.198148100,0.200697500,0.234828730,2.539048000,0.000000000,1788131772.352852
wasmtime,kmeans,20,1,25,5000,6707.977674143,0.143091374,0.138560500,0.146662100,0.183222300,0.192621430,1.812785000,0.000000000,1788131775.681775
wasmtime,kmeans,20,1,26,5000,5945.357869759,0.161058643,0.140337000,0.197844900,0.204138650,0.232451610,1.987824000,0.000000000,1788131778.979369
wasmtime,kmeans,20,1,27,5000,5759.850767988,0.166244309,0.144769500,0.198635600,0.203102100,0.219790530,1.812730000,0.000000000,1788131782.309003
wasmtime,kmeans,20,1,28,5000,6025.905027297,0.159004694,0.139790500,0.195595800,0.201220300,0.219600790,1.802778000,0.000000000,1788131785.791907
wasmtime,kmeans,20,1,29,5000,6735.067734629,0.142610188,0.138969000,0.145265600,0.182471450,0.190962860,1.788606000,0.000000000,1788131788.895447
wasmtime,kmeans,20,1,30,5000,5677.944363632,0.168676704,0.182453000,0.197086500,0.200027250,0.244726790,1.774169000,0.000000000,1788131792.331205
wasmtime,kmeans,20,1,31,5000,6742.741182740,0.142510499,0.138887000,0.144993500,0.181879900,0.189318180,1.787854000,0.000000000,1788131795.640920
wasmtime,kmeans,20,1,32,5000,6093.763543031,0.157338370,0.140690000,0.193657400,0.196203750,0.203934290,1.786488000,0.000000000,1788131798.856127
wasmtime,kmeans,20,1,33,5000,6816.055624871,0.140929667,0.137098500,0.143328100,0.181248050,0.188454710,1.793152000,0.000000000,1788131802.148762
wasmtime,kmeans,20,1,34,5000,5851.266828451,0.163668649,0.142965500,0.198172000,0.202777300,0.220696400,1.811103000,0.000000000,1788131805.672977
wasmtime,kmeans,20,1,35,5000,6715.662726236,0.143029889,0.139223000,0.145417900,0.182460400,0.190439780,1.787891000,0.000000000,1788131809.014857
wasmtime,kmeans,20,1,36,5000,6838.906319480,0.140425105,0.136731000,0.143381600,0.181294850,0.189223020,1.795482000,0.000000000,1788131812.114505
wasmtime,kmeans,20,1,37,5000,6715.234350558,0.143001461,0.139061500,0.145336800,0.183028450,0.191369070,1.760094000,0.000000000,1788131815.249918
wasmtime,kmeans,20,1,38,5000,6759.086914665,0.142072486,0.138597000,0.144767600,0.181856050,0.189369830,1.786864000,0.000000000,1788131818.512983
wasmtime,kmeans,20,1,39,5000,6741.270727047,0.142578702,0.138615500,0.144829700,0.182449950,0.190503870,1.803328000,0.000000000,1788131821.627691
wasmtime,kmeans,20,1,40,5000,5316.093341327,0.180659632,0.167816500,0.215158200,0.218348800,0.224366700,2.247576000,0.000000000,1788131825.253406
wasmtime,kmeans,20,1,41,5000,6740.646040514,0.142484362,0.138791000,0.144741800,0.182423700,0.192277280,1.824100000,0.000000000,1788131828.368613
