backend,model,physical_units,concurrency,repetition,requests,throughput_rps,mean_latency_ms,p50_latency_ms,p90_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms,error_rate,timestamp_unix
wasmtime,logistic_regression,20,1,1,5000,5294.380298469,0.180602191,0.191069000,0.198076100,0.202829650,0.219003100,2.448321000,0.000000000,1787958367.385883
wasmtime,logistic_regression,20,1,2,5000,5531.519480665,0.173024552,0.189201500,0.196614500,0.200189750,0.218134180,2.437881000,0.000000000,1787958370.901373
wasmtime,logistic_regression,20,1,3,5000,6832.129332982,0.140573098,0.136664000,0.143733200,0.179668450,0.187665110,1.772754000,0.000000000,1787958374.221076
wasmtime,logistic_regression,20,1,4,5000,5859.941595604,0.163532409,0.142629500,0.206335000,0.212616000,0.220700040,1.773432000,0.000000000,1787958377.721880
wasmtime,logistic_regression,20,1,5,5000,5720.704627796,0.167468050,0.187089000,0.196934300,0.200919900,0.219647800,1.801945000,0.000000000,1787958381.200370
wasmtime,logistic_regression,20,1,6,5000,6812.488306184,0.141013194,0.137603000,0.143881000,0.181031750,0.188333520,1.823542000,0.000000000,1787958384.511372
wasmtime,logistic_regression,20,1,7,5000,5738.966350580,0.167168152,0.141901000,0.210265200,0.214521100,0.232341210,2.553583000,0.000000000,1787958387.742697
wasmtime,logistic_regression,20,1,8,5000,5844.323882396,0.164001028,0.142114000,0.197200500,0.201764800,0.218834830,1.767383000,0.000000000,1787958391.280845
wasmtime,logistic_regression,20,1,9,5000,6930.865915693,0.138614098,0.135457500,0.141098100,0.147535000,0.184215830,1.788687000,0.000000000,1787958394.456367
wasmtime,logistic_regression,20,1,10,5000,6900.025074577,0.139151855,0.135539000,0.141560200,0.178858750,0.186373360,1.756220000,0.000000000,1787958397.543682
wasmtime,logistic_regression,20,1,11,5000,6774.613760508,0.141840944,0.137854500,0.144095000,0.181177550,0.188860390,1.758402000,0.000000000,1787958400.630968
wasmtime,logistic_regression,20,1,12,5000,6861.382983753,0.139927102,0.136033500,0.142822900,0.180402350,0.188755560,1.827804000,0.000000000,1787958403.832783
wasmtime,logistic_regression,20,1,13,5000,6792.885563287,0.141473928,0.137902500,0.143605300,0.180700500,0.188802080,1.805312000,0.000000000,1787958406.935138
wasmtime,logistic_regression,20,1,14,5000,5749.864747559,0.166573291,0.145305000,0.196867400,0.200881250,0.219041780,1.826744000,0.000000000,1787958410.257633
wasmtime,logistic_regression,20,1,15,5000,5967.384496089,0.160652683,0.140203500,0.196545100,0.200476350,0.218707140,1.837430000,0.000000000,1787958413.750339
wasmtime,logistic_regression,20,1,16,5000,6698.311078696,0.143546387,0.139230500,0.146382100,0.182543850,0.190242440,1.776664000,0.000000000,1787958417.047010
wasmtime,logistic_regression,20,1,17,5000,6852.664687426,0.140173304,0.136524500,0.143178000,0.181029150,0.189004250,1.832771000,0.000000000,1787958420.148191
wasmtime,logistic_regression,20,1,18,5000,6786.360724169,0.141527175,0.137857500,0.144264900,0.181171100,0.189266550,1.770311000,0.000000000,1787958423.416808
wasmtime,logistic_regression,20,1,19,5000,6799.600942235,0.141414070,0.137565000,0.143951300,0.181364500,0.189299280,1.773235000,0.000000000,1787958426.509731
wasmtime,logistic_regression,20,1,20,5000,6732.272692849,0.142673300,0.139107500,0.145338300,0.181932200,0.188859170,1.838567000,0.000000000,1787958429.821863
wasmtime,logistic_regression,20,1,21,5000,6839.398549126,0.140431083,0.136993000,0.143271600,0.179102050,0.187038510,1.787610000,0.000000000,1787958432.917883
wasmtime,logistic_regression,20,1,22,5000,6833.512104781,0.140607286,0.136807000,0.143583800,0.181283400,0.187675530,1.828227000,0.000000000,1787958436.207444
wasmtime,logistic_regression,20,1,23,5000,5881.183380402,0.163016069,0.141339500,0.196521200,0.201473700,0.217276460,1.770748000,0.000000000,1787958439.519838
wasmtime,logistic_regression,20,1,24,5000,6869.771611339,0.139981647,0.138409500,0.142905300,0.144658250,0.179362530,1.870503000,0.000000000,1787958442.859991
wasmtime,logistic_regression,20,1,25,5000,6802.761645881,0.141261717,0.137747500,0.143631200,0.180823100,0.188326670,1.758940000,0.000000000,1787958446.186617
wasmtime,logistic_regression,20,1,26,5000,6806.026129247,0.141234234,0.137379000,0.143727500,0.180431200,0.187536400,1.757328000,0.000000000,1787958449.268609
wasmtime,logistic_regression,20,1,27,5000,6716.141734734,0.143161834,0.139043000,0.145828200,0.182277000,0.190309540,2.346813000,0.000000000,1787958452.589776
wasmtime,logistic_regression,20,1,28,5000,6787.496791441,0.141476927,0.137941000,0.144540200,0.182412750,0.190106320,1.675688000,0.000000000,1787958455.681359
wasmtime,logistic_regression,20,1,29,5000,6710.904049678,0.143264516,0.139437000,0.145742700,0.182270800,0.190321260,1.837253000,0.000000000,1787958458.794014
wasmtime,logistic_regression,20,1,30,5000,6788.058401995,0.141542451,0.137876500,0.143845100,0.180566250,0.188023480,1.757597000,0.000000000,1787958461.887825
wasmtime,logistic_regression,20,1,31,5000,6725.454040300,0.142859734,0.139164000,0.145430000,0.182189600,0.189759090,1.753516000,0.000000000,1787958465.162451
wasmtime,logistic_regression,20,1,32,5000,6707.090400622,0.143280694,0.139115000,0.146232400,0.181795300,0.189248160,1.780033000,0.000000000,1787958468.273533
wasmtime,logistic_regression,20,1,33,5000,6671.860851120,0.144057909,0.138914000,0.145961000,0.182173900,0.194851380,1.840256000,0.000000000,1787958471.385580
wasmtime,logistic_regression,20,1,34,5000,6832.602235297,0.140512104,0.137042500,0.143460800,0.180970950,0.188874530,1.754906000,0.000000000,1787958474.491881
wasmtime,logistic_regression,20,1,35,5000,6805.183220910,0.141173620,0.137416500,0.143903300,0.181200550,0.188949540,1.784089000,0.000000000,1787958477.779423
wasmtime,logistic_regression,20,1,36,5000,6819.318335050,0.140873190,0.137401000,0.143387500,0.179737250,0.187268260,1.785001000,0.000000000,1787958480.857442
wasmtime,logistic_regression,20,1,37,5000,6738.421540345,0.142692070,0.138927000,0.144795600,0.182641150,0.190102750,1.752320000,0.000000000,1787958484.089880
wasmtime,logistic_regression,20,1,38,5000,6726.867557999,0.142826028,0.139232000,0.145365100,0.182088600,0.188868260,1.813471000,0.000000000,1787958487.192387
wasmtime,logistic_regression,20,2,1,5000,6704.173883610,0.290202270,0.313844000,0.322984000,0.330832000,0.381699250,9.825332000,0.000000000,1787959945.104201
wasmtime,logistic_regression,20,2,2,5000,9072.929903220,0.214572650,0.202293000,0.208301100,0.213296200,0.381320230,13.507993000,0.000000000,1787959948.321093
wasmtime,logistic_regression,20,2,3,5000,6116.732008920,0.317993160,0.317451500,0.328288800,0.368597000,0.387074150,2.637676000,0.000000000,1787959951.722327
wasmtime,logistic_regression,20,2,4,5000,6322.567156130,0.307798252,0.318718000,0.328162600,0.335414050,0.389404990,13.481569000,0.000000000,1787959955.135428
wasmtime,logistic_regression,20,2,5,5000,8915.588879179,0.218586256,0.207197000,0.213735600,0.219841100,0.316087970,13.457252000,0.000000000,1787959958.113320
wasmtime,logistic_regression,20,2,6,5000,8947.052797369,0.217455486,0.203517500,0.212808500,0.303273000,0.324863840,13.334881000,0.000000000,1787959960.856220
wasmtime,logistic_regression,20,2,7,5000,6794.119961944,0.286471408,0.317002500,0.331515500,0.358233550,0.407999660,13.537945000,0.000000000,1787959963.879527
wasmtime,logistic_regression,20,2,8,5000,6732.424536944,0.289189756,0.314728500,0.327518100,0.347350000,0.387418860,13.512291000,0.000000000,1787959966.915035
wasmtime,logistic_regression,20,2,9,5000,8928.593574859,0.218106224,0.206690500,0.212936400,0.219525900,0.317201030,13.353940000,0.000000000,1787959969.893307
