backend,model,physical_units,concurrency,repetition,requests,throughput_rps,mean_latency_ms,p50_latency_ms,p90_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms,error_rate,timestamp_unix
wasmtime,mlp,20,1,1,5000,5132.040904437,0.187068151,0.205628000,0.213466100,0.217813700,0.239980520,2.458619000,0.000000000,1787876015.187045
wasmtime,mlp,20,1,2,5000,5966.894974486,0.161298773,0.149613000,0.208732900,0.214112650,0.244872440,1.977417000,0.000000000,1787876018.821449
wasmtime,mlp,20,1,3,5000,5723.232539015,0.167986022,0.149399000,0.211844800,0.216534100,0.240595960,2.325177000,0.000000000,1787876022.435251
wasmtime,mlp,20,1,4,5000,6260.109594280,0.153864362,0.149577500,0.156823900,0.200733550,0.209108760,1.839252000,0.000000000,1787876025.821827
wasmtime,mlp,20,1,5,5000,5029.082719488,0.190767103,0.205072000,0.212489300,0.216766400,0.244161390,2.458211000,0.000000000,1787876029.422335
wasmtime,mlp,20,1,6,5000,5189.913202979,0.185186669,0.204195500,0.212740000,0.215498150,0.238101000,9.000550000,0.000000000,1787876033.050779
wasmtime,mlp,20,1,7,5000,6296.664977594,0.153007333,0.149213000,0.155666200,0.200058250,0.210778630,1.808027000,0.000000000,1787876036.437645
wasmtime,mlp,20,1,8,5000,5671.564508258,0.169494853,0.150226000,0.211372700,0.216071100,0.240376830,1.707608000,0.000000000,1787876040.059667
wasmtime,mlp,20,1,9,5000,6265.223428741,0.153661879,0.149788000,0.156089200,0.200935700,0.210013940,1.818850000,0.000000000,1787876043.547664
wasmtime,mlp,20,1,10,5000,5559.427109957,0.172851262,0.151327500,0.213590100,0.228280850,0.242173050,1.800199000,0.000000000,1787876047.129683
wasmtime,mlp,20,1,11,5000,5640.382725504,0.170452233,0.151658500,0.212423700,0.217565350,0.242766270,1.957630000,0.000000000,1787876050.530354
wasmtime,mlp,20,1,12,5000,5533.844923940,0.173684185,0.151860000,0.212799600,0.217294850,0.241778010,1.834937000,0.000000000,1787876053.941695
wasmtime,mlp,20,1,13,5000,6403.231080634,0.150369509,0.146340500,0.153473200,0.199655700,0.207733080,1.789032000,0.000000000,1787876057.287811
wasmtime,mlp,20,1,14,5000,6298.612638685,0.152867952,0.149033500,0.155766900,0.201038250,0.209013040,1.814649000,0.000000000,1787876060.707430
wasmtime,mlp,20,1,15,5000,6312.439349783,0.152619587,0.148840500,0.155156100,0.200273100,0.208898090,1.816061000,0.000000000,1787876064.100410
