backend,model,physical_units,concurrency,repetition,requests,throughput_rps,mean_latency_ms,p50_latency_ms,p90_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms,error_rate,timestamp_unix
wasmtime,naive_bayes,20,16,1,5000,9215.719731473,1.724176806,1.621020000,1.653858900,3.051841250,3.201782450,6.518270000,0.000000000,1787687192.213992
wasmtime,naive_bayes,20,16,2,5000,9279.023886024,1.712385260,1.615315000,1.644242700,2.532475150,3.216304060,6.737496000,0.000000000,1787687195.211088
wasmtime,naive_bayes,20,16,3,5000,8883.920706114,1.788954684,1.604313500,2.498533100,3.051048850,3.137757470,6.471239000,0.000000000,1787687197.978925
wasmtime,naive_bayes,20,16,4,5000,6942.574661136,2.290643040,2.495730500,2.538788200,3.050556350,3.108584660,5.878020000,0.000000000,1787687201.151009
wasmtime,naive_bayes,20,16,5,5000,7893.782175591,2.013872300,1.619587500,2.528377100,3.083534950,3.161088880,5.980410000,0.000000000,1787687204.186228
wasmtime,naive_bayes,20,16,6,5000,9273.322893851,1.714582266,1.620303000,1.787543000,2.509705650,2.565495690,5.533215000,0.000000000,1787687207.014829
wasmtime,naive_bayes,20,16,7,5000,9328.448469047,1.704475864,1.610506500,1.793319400,2.494473450,2.535621850,5.235821000,0.000000000,1787687209.865231
wasmtime,naive_bayes,20,16,8,5000,9285.474201951,1.712293404,1.616246500,1.782843200,2.522730600,2.563264140,5.296763000,0.000000000,1787687212.734282
wasmtime,naive_bayes,20,16,9,5000,9266.985401321,1.714745888,1.607527500,1.633331200,3.056702850,3.115653460,6.610164000,0.000000000,1787687215.691117
wasmtime,naive_bayes,20,16,10,5000,9292.636412623,1.711079104,1.610772500,2.057794300,2.502933100,2.541087920,5.381865000,0.000000000,1787687218.522972
wasmtime,naive_bayes,20,16,11,5000,9229.585340768,1.722717160,1.628146500,1.798004700,2.527033350,2.563967210,5.419505000,0.000000000,1787687221.170526
wasmtime,naive_bayes,20,16,12,5000,9281.209203400,1.712977598,1.617506000,1.730442000,2.527347300,2.589592110,5.336353000,0.000000000,1787687223.824044
wasmtime,naive_bayes,20,16,13,5000,9276.519732309,1.713866575,1.619073000,1.728820300,2.522155950,2.592290230,5.363262000,0.000000000,1787687226.665992
wasmtime,naive_bayes,20,16,14,5000,9283.337456564,1.712768289,1.617688500,1.772194000,2.522216700,2.558266500,5.400768000,0.000000000,1787687229.324461
wasmtime,naive_bayes,20,16,15,5000,9313.586913410,1.707073074,1.611763500,1.734716000,2.507025050,2.549617620,5.326472000,0.000000000,1787687231.978873
wasmtime,naive_bayes,20,16,16,5000,7319.391301519,2.172263158,2.510166500,2.607067600,3.095375150,3.200084580,6.581159000,0.000000000,1787687235.102722
wasmtime,naive_bayes,20,16,17,5000,9311.378370571,1.707537569,1.612471500,1.789387500,2.504703600,2.563874800,5.404923000,0.000000000,1787687237.757719
wasmtime,naive_bayes,20,16,18,5000,7710.519312273,2.061802822,1.641261000,2.584886400,3.074990700,3.174418510,6.504599000,0.000000000,1787687240.835153
wasmtime,naive_bayes,20,16,19,5000,9376.712228526,1.695600851,1.600380000,1.774911600,2.496657350,2.542814460,5.378698000,0.000000000,1787687243.483215
wasmtime,naive_bayes,20,16,20,5000,9327.997337104,1.704409778,1.609078500,1.791730600,2.510659250,2.553990660,5.517732000,0.000000000,1787687246.135305
wasmtime,naive_bayes,20,16,21,5000,9317.073285482,1.706434194,1.611402500,1.768147800,2.510881650,2.556633120,5.368195000,0.000000000,1787687248.802236
wasmtime,naive_bayes,20,16,22,5000,9281.774887691,1.713005084,1.618697500,1.773498500,2.515321000,2.556214840,5.460282000,0.000000000,1787687251.459632
wasmtime,naive_bayes,20,16,23,5000,9250.631675632,1.718808960,1.624338000,1.756759000,2.528512950,2.570482560,5.715943000,0.000000000,1787687254.326901
wasmtime,naive_bayes,20,16,24,5000,9359.271085300,1.698700087,1.604154500,1.760358500,2.492616500,2.531074220,5.632328000,0.000000000,1787687256.982738
wasmtime,naive_bayes,20,16,25,5000,9340.829489808,1.702041011,1.607431500,1.785368900,2.500110900,2.542499170,5.332119000,0.000000000,1787687259.866904
