backend,model,physical_units,concurrency,repetition,requests,throughput_rps,mean_latency_ms,p50_latency_ms,p90_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms,error_rate,timestamp_unix
wasmtime,random_forest,20,1,1,5000,5394.930898398,0.177902568,0.154447500,0.211847100,0.216956700,0.240779900,1.769541000,0.000000000,1787796303.760355
wasmtime,random_forest,20,1,2,5000,5484.381821172,0.175263776,0.153557500,0.214325200,0.218609350,0.241631210,1.827725000,0.000000000,1787796307.369209
wasmtime,random_forest,20,1,3,5000,5319.265636316,0.180521518,0.201566000,0.210568700,0.215205050,0.239548320,2.527161000,0.000000000,1787796311.067785
wasmtime,random_forest,20,1,4,5000,5755.080328273,0.167027959,0.148924000,0.209942600,0.214339650,0.238900430,1.758209000,0.000000000,1787796314.704700
wasmtime,random_forest,20,1,5,5000,5846.824750711,0.164508351,0.148134000,0.210841300,0.215819950,0.240309940,1.717366000,0.000000000,1787796318.473859
wasmtime,random_forest,20,1,6,5000,6362.451099932,0.151267067,0.147110500,0.154394800,0.199881450,0.208798410,1.771938000,0.000000000,1787796321.847495
wasmtime,random_forest,20,1,7,5000,6169.035076230,0.156006153,0.149508500,0.158501000,0.211567050,0.240791550,1.811441000,0.000000000,1787796325.350188
wasmtime,random_forest,20,1,8,5000,5627.466687126,0.170830699,0.150124000,0.211908900,0.216093150,0.241217120,1.809081000,0.000000000,1787796328.748877
wasmtime,random_forest,20,1,9,5000,6315.904618831,0.152349830,0.147967500,0.154591200,0.201054750,0.211082270,1.806391000,0.000000000,1787796332.118380
wasmtime,random_forest,20,1,10,5000,6365.027543319,0.151245866,0.147158500,0.154206000,0.199873100,0.208044000,1.793152000,0.000000000,1787796335.321682
wasmtime,random_forest,20,1,11,5000,6233.656148575,0.154535030,0.149462000,0.156533500,0.199526650,0.210054550,1.810442000,0.000000000,1787796338.549047
wasmtime,random_forest,20,1,12,5000,6305.590281116,0.152703779,0.149112000,0.156007300,0.200533250,0.209445390,1.796183000,0.000000000,1787796341.754501
wasmtime,random_forest,20,1,13,5000,6430.988994887,0.149784981,0.145343500,0.152293300,0.199539750,0.208144600,1.797154000,0.000000000,1787796344.945594
wasmtime,random_forest,20,1,14,5000,6280.418776097,0.153407170,0.149385000,0.155827200,0.200794850,0.209994340,1.815359000,0.000000000,1787796348.344803
wasmtime,random_forest,20,1,15,5000,6349.232689343,0.151715640,0.148043500,0.154505800,0.199599250,0.208619900,1.777222000,0.000000000,1787796351.545056
wasmtime,random_forest,20,1,16,5000,6369.434174826,0.151188484,0.146990000,0.153912200,0.200095300,0.208391130,1.804046000,0.000000000,1787796354.739814
wasmtime,random_forest,20,1,17,5000,6369.244235432,0.151153903,0.147197500,0.154250900,0.199012000,0.208239140,1.802312000,0.000000000,1787796357.944856
wasmtime,random_forest,20,1,18,5000,6210.672972414,0.155212517,0.149770000,0.158471000,0.198706850,0.212544070,1.944842000,0.000000000,1787796361.413823
wasmtime,random_forest,20,1,19,5000,6325.167763017,0.152181308,0.148204500,0.156063800,0.199874200,0.209088450,1.810630000,0.000000000,1787796364.618528
wasmtime,random_forest,20,1,20,5000,5478.631760336,0.175337216,0.151895500,0.213113500,0.217297400,0.242445170,1.802787000,0.000000000,1787796368.041454
wasmtime,random_forest,20,1,21,5000,6379.167485932,0.150979455,0.146821500,0.153439200,0.199581900,0.208552170,1.817206000,0.000000000,1787796371.391363
wasmtime,random_forest,20,1,22,5000,6257.638669542,0.153948543,0.148319500,0.156004100,0.201065100,0.211428510,1.801219000,0.000000000,1787796374.821908
wasmtime,random_forest,20,1,23,5000,6334.426705692,0.152062183,0.148605000,0.155254400,0.199245150,0.208145190,1.743000000,0.000000000,1787796378.380817
wasmtime,random_forest,20,1,24,5000,6191.384132245,0.155754852,0.148376500,0.154789200,0.158925850,0.221953650,9.225943000,0.000000000,1787796381.596642
wasmtime,random_forest,20,1,25,5000,6301.013224256,0.152768415,0.149156500,0.155850600,0.200794150,0.208634110,1.817217000,0.000000000,1787796384.803674
wasmtime,random_forest,20,1,26,5000,5535.038710363,0.173589549,0.150986000,0.210030600,0.214530400,0.239716010,1.789828000,0.000000000,1787796388.450389
wasmtime,random_forest,20,1,27,5000,6291.659207075,0.153173443,0.149390500,0.156231200,0.200805200,0.209495220,1.780826000,0.000000000,1787796391.670705
wasmtime,random_forest,20,1,28,5000,5296.897867912,0.181435466,0.153631000,0.230129100,0.235338050,0.244402400,1.933460000,0.000000000,1787796395.143740
wasmtime,random_forest,20,1,29,5000,5529.526293408,0.173785513,0.150216000,0.212189200,0.216363600,0.240181680,1.787313000,0.000000000,1787796398.559243
wasmtime,random_forest,20,1,30,5000,6303.432566197,0.152769029,0.148905500,0.155106300,0.200609000,0.208516100,1.797797000,0.000000000,1787796401.763386
wasmtime,random_forest,20,1,31,5000,6374.489160801,0.151098680,0.146973500,0.154365400,0.199183450,0.207780220,1.816866000,0.000000000,1787796404.967717
wasmtime,random_forest,20,1,32,5000,6321.056770577,0.152389671,0.148481500,0.155159400,0.198708500,0.210585170,1.763869000,0.000000000,1787796408.379755
wasmtime,random_forest,20,2,1,5000,6156.936837714,0.316397774,0.336354000,0.346522500,0.357917600,0.416978660,2.759135000,0.000000000,1787799205.108858
wasmtime,random_forest,20,2,2,5000,6938.964481221,0.280710246,0.224745000,0.348453800,0.357838050,0.430858980,2.024990000,0.000000000,1787799208.369063
wasmtime,random_forest,20,2,3,5000,7190.802693019,0.270862203,0.219420000,0.346484700,0.356357100,0.413815640,1.924225000,0.000000000,1787799211.550519
wasmtime,random_forest,20,2,4,5000,6807.493022623,0.286185240,0.332385000,0.344837400,0.356554550,0.418238690,2.710218000,0.000000000,1787799214.789167
wasmtime,random_forest,20,2,5,5000,8614.764659397,0.226190411,0.216821000,0.226378700,0.332181050,0.346252390,2.001334000,0.000000000,1787799217.766003
wasmtime,random_forest,20,2,6,5000,7161.935176010,0.272071786,0.220217000,0.346466000,0.357026600,0.416957620,2.015996000,0.000000000,1787799220.958580
wasmtime,random_forest,20,2,7,5000,8677.380883974,0.224555387,0.215202500,0.224057900,0.330971200,0.346283930,1.973206000,0.000000000,1787799223.937376
wasmtime,random_forest,20,2,8,5000,7229.055472596,0.269507224,0.219929000,0.347199600,0.361035250,0.419653980,1.995416000,0.000000000,1787799227.145350
wasmtime,random_forest,20,2,9,5000,8693.485078259,0.224191272,0.214654500,0.224007100,0.331382100,0.343000110,2.017922000,0.000000000,1787799230.110981
wasmtime,random_forest,20,2,10,5000,8545.316908318,0.228062681,0.216240000,0.232223500,0.332199150,0.348292410,2.257361000,0.000000000,1787799232.908514
wasmtime,random_forest,20,2,11,5000,8664.156336787,0.224921210,0.215008000,0.224896600,0.332600750,0.345234780,1.991377000,0.000000000,1787799235.878975
wasmtime,random_forest,20,2,12,5000,8560.123987606,0.227687578,0.218176500,0.227259300,0.333916700,0.348856700,1.928202000,0.000000000,1787799238.656180
wasmtime,random_forest,20,2,13,5000,8652.422853619,0.225253710,0.215963500,0.224541100,0.331427150,0.346450500,2.002751000,0.000000000,1787799241.602878
wasmtime,random_forest,20,2,14,5000,8679.229497670,0.224517078,0.215152500,0.224042900,0.330541450,0.345268240,1.986870000,0.000000000,1787799244.587168
wasmtime,random_forest,20,2,15,5000,8657.891015804,0.224933936,0.215656500,0.224463000,0.331703800,0.342616840,2.012520000,0.000000000,1787799247.543892
