backend,model,physical_units,concurrency,repetition,requests,throughput_rps,mean_latency_ms,p50_latency_ms,p90_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms,error_rate,timestamp_unix
wasmtime,svm,20,1,1,5000,5472.372566295,0.175929775,0.153495000,0.224389000,0.228737850,0.253113170,1.809969000,0.000000000,1787850222.711556
wasmtime,svm,20,1,2,5000,5382.481871128,0.178870463,0.153465500,0.226556400,0.230596650,0.254916880,1.808369000,0.000000000,1787850226.401405
wasmtime,svm,20,1,3,5000,5173.466894939,0.186070124,0.157633000,0.228461200,0.232379450,0.256646860,1.811475000,0.000000000,1787850230.085883
wasmtime,svm,20,1,4,5000,5652.312441270,0.170325710,0.152174000,0.225784500,0.235821900,0.256064350,1.796608000,0.000000000,1787850233.507387
wasmtime,svm,20,1,5,5000,6257.316634070,0.154038069,0.149468500,0.156186400,0.210151500,0.220411210,1.798598000,0.000000000,1787850236.934927
wasmtime,svm,20,1,6,5000,5180.374346799,0.185758867,0.158584500,0.225171800,0.229409650,0.254837270,1.803459000,0.000000000,1787850240.629328
wasmtime,svm,20,1,7,5000,6126.699866107,0.157393238,0.151225000,0.159910600,0.213195050,0.226448010,1.815614000,0.000000000,1787850243.881982
wasmtime,svm,20,1,8,5000,6114.300395291,0.157619238,0.153507000,0.160430700,0.193392850,0.221885210,1.736899000,0.000000000,1787850247.323524
wasmtime,svm,20,1,9,5000,6238.470635299,0.154521549,0.150182500,0.158127700,0.210651650,0.221079640,2.093551000,0.000000000,1787850250.555319
wasmtime,svm,20,1,10,5000,6091.257629948,0.158362126,0.152461500,0.158593300,0.170024950,0.224560380,9.230050000,0.000000000,1787850254.045369
wasmtime,svm,20,1,11,5000,6208.432842983,0.155248273,0.150965000,0.158491500,0.207623400,0.220101260,1.772482000,0.000000000,1787850257.284891
wasmtime,svm,20,1,12,5000,5942.639986714,0.162067515,0.151096500,0.217221300,0.222779800,0.231219280,1.814689000,0.000000000,1787850261.090468
wasmtime,svm,20,1,13,5000,6222.327838442,0.154943333,0.150517000,0.157544700,0.182126300,0.222355320,1.785256000,0.000000000,1787850264.469833
wasmtime,svm,20,1,14,5000,6180.276433728,0.156058061,0.151727000,0.158564800,0.190622000,0.221577800,1.817369000,0.000000000,1787850267.961083
wasmtime,svm,20,1,15,5000,6127.261561573,0.157340007,0.153011500,0.160019400,0.195184550,0.222474730,1.770402000,0.000000000,1787850271.213350
wasmtime,svm,20,1,16,5000,6206.285770623,0.155361588,0.150987500,0.157943400,0.195849050,0.220720910,1.792865000,0.000000000,1787850274.641428
wasmtime,svm,20,1,17,5000,6175.195116689,0.156144902,0.151111500,0.159367800,0.211785550,0.222359640,1.801262000,0.000000000,1787850278.084760
wasmtime,svm,20,1,18,5000,6172.409638263,0.156131021,0.151790000,0.158998400,0.206408500,0.222492300,1.741919000,0.000000000,1787850281.326204
wasmtime,svm,20,1,19,5000,5124.045087855,0.187850554,0.167701500,0.227926200,0.232281150,0.255836030,2.065846000,0.000000000,1787850284.831848
wasmtime,svm,20,1,20,5000,6201.802807656,0.155416227,0.151106000,0.158740000,0.204222700,0.222642000,1.796056000,0.000000000,1787850288.065398
wasmtime,svm,20,1,21,5000,6215.053962904,0.155062288,0.150634000,0.157316100,0.196917150,0.221380970,1.882525000,0.000000000,1787850291.477219
wasmtime,svm,20,1,22,5000,6164.760716647,0.156425487,0.150572000,0.159223600,0.212691650,0.223016520,1.801162000,0.000000000,1787850294.735204
wasmtime,svm,20,1,23,5000,5147.612223165,0.187111419,0.166472000,0.226291800,0.231800300,0.262965380,1.819594000,0.000000000,1787850298.245905
wasmtime,svm,20,1,24,5000,6184.527584802,0.155747286,0.151408000,0.158328100,0.187406650,0.222826500,1.812050000,0.000000000,1787850301.691217
wasmtime,svm,20,1,25,5000,6189.151165020,0.155811443,0.150645500,0.158961000,0.210385750,0.223227150,1.785737000,0.000000000,1787850305.259149
wasmtime,svm,20,1,26,5000,6139.432556943,0.157021772,0.152845500,0.159947300,0.194480500,0.223337700,1.788936000,0.000000000,1787850308.873111
wasmtime,svm,20,1,27,5000,6169.376208860,0.156288797,0.151716500,0.159416300,0.196157500,0.222717050,1.731743000,0.000000000,1787850312.346380
wasmtime,svm,20,1,28,5000,6164.168765912,0.156381553,0.152075500,0.158362200,0.193695750,0.221604690,1.803832000,0.000000000,1787850315.600407
wasmtime,svm,20,1,29,5000,6218.847144471,0.155052971,0.150640000,0.157126700,0.190846800,0.222036770,1.768199000,0.000000000,1787850318.908693
wasmtime,svm,20,1,30,5000,6190.645899545,0.155737600,0.151268000,0.158796400,0.196738550,0.221625570,1.811340000,0.000000000,1787850322.156197
wasmtime,svm,20,1,31,5000,6140.501097997,0.156989858,0.152308000,0.159892900,0.195343350,0.221920190,1.808839000,0.000000000,1787850325.608663
wasmtime,svm,20,1,32,5000,6192.608191089,0.155674141,0.151099000,0.158612100,0.205432400,0.221284770,1.796184000,0.000000000,1787850328.856378
wasmtime,svm,20,1,33,5000,6226.005085063,0.154895863,0.150464500,0.157215900,0.194106650,0.220872660,1.796544000,0.000000000,1787850332.104285
wasmtime,svm,20,1,34,5000,6179.218389730,0.156026709,0.151412000,0.158341100,0.204910500,0.222226740,1.794879000,0.000000000,1787850335.349528
wasmtime,svm,20,1,35,5000,4944.860091147,0.195071610,0.166345500,0.245024700,0.248709100,0.258152200,2.210560000,0.000000000,1787850339.152669
wasmtime,svm,20,1,36,5000,6115.272729301,0.157552909,0.153255500,0.159972100,0.213669150,0.225300230,1.799286000,0.000000000,1787850342.564864
wasmtime,svm,20,1,37,5000,6108.886611740,0.157859220,0.153167000,0.161159200,0.201231250,0.223080190,1.796652000,0.000000000,1787850345.824678
wasmtime,svm,20,1,38,5000,6197.255590766,0.155506623,0.151072000,0.158081300,0.197441200,0.222237160,1.784928000,0.000000000,1787850349.063116
wasmtime,svm,20,1,39,5000,5990.154409616,0.161122896,0.154516000,0.169422500,0.214370300,0.225801170,1.696805000,0.000000000,1787850352.341733
wasmtime,svm,20,1,40,5000,6208.701479127,0.155280558,0.150769000,0.158302600,0.194147400,0.222386550,1.784609000,0.000000000,1787850355.580144
wasmtime,svm,20,1,41,5000,6211.544923441,0.155198646,0.150764500,0.157752200,0.191833350,0.221291040,1.762967000,0.000000000,1787850359.004955
wasmtime,svm,20,1,42,5000,6191.675516481,0.155647830,0.151795500,0.158215500,0.204114500,0.220388220,1.776609000,0.000000000,1787850362.466426
wasmtime,svm,20,1,43,5000,6225.733935141,0.154766823,0.150661500,0.157775100,0.195623750,0.221641280,1.808565000,0.000000000,1787850365.791752
wasmtime,svm,20,2,1,5000,7128.904494123,0.273131431,0.220068500,0.347140800,0.359254100,0.418935840,2.036560000,0.000000000,1787852347.026131
